"","ZEB1","GSK3","SOSGRB2","ZEB2","cfos","NOTCHic","Csn","NOTCH","MEK","Csl","Jagged","ILK","cMet","ERK","Wnt","PAK1","GLI","SMAD","RAF","cateninmemb","TGFR","CDC42","DSH","KLF4","Ecadherin","TrCP","STAT","LIV1","TWIST1","FOXC2","RAS","PI3K","DELTA","Frizzled","SUFU","TGF","RKIP","cateninnuc","TCFLEF","SRC","CD44","AKT","IKK","SHH","HEY1","AXIN2","SNAI2","Patched","SNAI1","NFB","Destcompl","SMO","FUS","EGR1","miR200"
"AXIN2",0.426823894064627,-0.680051673218721,0.0192908042557411,-0.124468400885293,-0.0521951219512195,0.0877443609022557,-0.277777777777778,0.103284901442796,-0.0786276066434528,0.0663157894736842,-0.285375646679994,0.135725787899701,-0.375803261160118,-0.0662138135400046,-0.375803261160118,0.2475,-0.39718690895886,0.150408327582241,-0.544618364038779,-0.283071182576491,0.288470173713537,0.273425925925926,0.313333333333333,-0.117196558215959,-0.10212834605428,-0.2,0.313333333333333,0.266666666666667,0.0116839992702062,-0.258486314622146,0.575327025456102,0.544618364038779,0.544618364038779,0.348217054263566,-0.15,-0.298701196815847,0.37373547599354,0.422704884248402,0.41245845104477,0.348217054263566,0.397569822674313,0.37024154589372,0.35024154589372,-0.302780580075662,-0.126442655347321,0.743961003823555,0.403124035954961,-0.278846153846154,0.409492766789649,0.325603864734299,0.761240888556406,-0.246703296703297,-0.203846153846154,0.04,-0.37934594630608
"STAT",-0.22200107584723,-0.0300934579439252,-0.268472906403941,-0.108570916263224,-0.226666666666667,-0.0934287228404876,-0.1,-0.0943995966268953,-0.202631246046806,-0.0745098039215686,-0.105428826058085,-0.19645732689211,-0.00275974025974026,-0.197254901960784,-0.00275974025974026,-0.172727272727273,-0.00864209320091673,-0.176917097007052,-0.01241211745244,-0.044492398437331,-0.139832535885167,-0.147727272727273,-0.0142857142857143,-0.019211725094078,-0.0382360406754821,0,-0.0142857142857143,0.1,0.116799284340514,0.140632583503749,0.0109195801390072,0.01241211745244,0.01241211745244,-0.00178571428571429,0.05,0.143214178397245,-0.0570366795366795,0.00520907202367594,0.00842718882939703,-0.00178571428571429,0.00874264624264624,0.121275221953188,0.116190476190476,0.148146395005831,0.193333333333333,0.0543366437484085,0.0831800522709614,0.154341085271318,-0.0145537561784481,0.14,0.0617037193799887,0.156666666666667,0.15,0.266666666666667,0.134993787024294
"SMAD",-0.187299235021671,-0.021298014155157,-0.127188701567584,-0.107120614009642,-0.113824884792627,0.0143185550082102,-0.0333333333333333,0.0174931581828133,-0.115032398209442,0.00857142857142857,0.0208058930316995,-0.046911262253728,0.0494677871148459,-0.120801628978673,0.0695054945054945,-0.0880952380952381,0.0702249189659262,-0.140244595587061,0.023076277434356,0.102098720946754,-0.0911324558149643,-0.083869885982562,-0.0714285714285714,-0.111970916543177,-0.0674964362331874,0,-0.0514285714285714,-0.08,0.0124221531299154,0.070696064052319,-0.0197868037501455,-0.023076277434356,-0.023076277434356,-0.0714285714285714,0.1,0.0983037705560001,0.0053411566000079,-0.0534551451574596,-0.0530498766670848,-0.0514285714285714,-0.0512859689330278,0.0076750700280112,0.0210084033613445,0.0552534019985676,0.0453781809732591,-0.0915921880172128,0.0422505697791366,0.0712385321100917,0.0352285635511442,0.019047619047619,-0.0389543573141069,0.085,0.1,0.142857142857143,0.111544932538778
"miR200",0.0198655913978494,0.1148618290784,0.180593165699549,-0.104583333333333,0.182857142857143,-0.0701477832512315,-0.08,-0.0594133199743954,0.132207792207792,-0.104630541871921,-0.0369619435786782,0.00020227560050569,0.0626576852418861,0.146493506493507,0.0543098591549296,0.1875,0.0598043646494351,-0.0095155927380523,0.110750095675469,0.123992302686302,0.145880771663504,0.162009803921569,-0.04,-0.0952898550724638,-0.1137381954783,-0.1,-0.04,-0.1,-0.136112660345789,-0.139259602186431,-0.111498225351279,-0.110750095675469,-0.110750095675469,-0.036,0.12,-0.142973794919318,0.0477622911424613,-0.0679509874453007,-0.0694661389604522,-0.0443478260869565,-0.068275662769976,0.0240062420201447,0.0183458646616541,0.0299298293891029,-0.00663841807909604,-0.0988385653806214,-0.140550712133719,0.0212341772151899,0.0164245014245014,0.0326315789473684,-0.140965216781192,0.0225,0.0825,-0.142857142857143,-0.078897757003851
"cfos",-0.214965986394558,0.161558441558442,-0.172222222222222,-0.10378185172374,-0.16,-0.13974358974359,-0.1,-0.135128205128205,-0.138039793662491,-0.116666666666667,-0.113819444444444,-0.193650793650794,0.0911111111111111,-0.129565217391304,0.0911111111111111,-0.157142857142857,0.0884795321637427,-0.16784434203789,0.162636165577342,0.121820975086642,-0.117927170868347,-0.123809523809524,-0.1,-0.118095238095238,-0.0915111484556703,0,-0.1,-0.1,0.0189004329004329,0.0944797431167589,-0.169953238748074,-0.162636165577342,-0.162636165577342,-0.08,0.1,0.123987776928953,-0.0247785547785548,-0.0911220131022111,-0.0874183093985074,-0.08,-0.0884084084084084,0.130263157894737,0.125,0.193070489844683,0.190554722638681,-0.118095238095238,0.0652769614813411,0.196774193548387,0.0111184174475314,0.15,-0.154323446929911,0.2,0.2,0.16,0.131784228843052
"TrCP",-0.223647658420281,0.164467532467532,-0.159350935093509,-0.100887961048499,-0.129565217391304,-0.135128205128205,-0.15,-0.138424908424908,-0.126039793662491,-0.13974358974359,-0.104616990456714,-0.16784434203789,0.0884084084084084,-0.138039793662491,0.0884795321637427,-0.123809523809524,0.0860405077734988,-0.160102406554019,0.169953238748074,0.123652476918143,-0.123987776928953,-0.117927170868347,-0.08,-0.106619828259173,-0.0931028439574004,-0.1,-0.08,-0.1,0.0254221720308677,0.104824570702966,-0.166771420566256,-0.169953238748074,-0.169953238748074,-0.0911111111111111,0.2,0.131638050152997,-0.0308559028448531,-0.0933289096539353,-0.0911220131022111,-0.0911111111111111,-0.0874183093985074,0.115448343079922,0.130263157894737,0.176070489844683,0.161142957932798,-0.117466307277628,0.0647344660021367,0.193070489844683,0.0027651954904908,0.125,-0.157631717606603,0.196774193548387,0.2,0.16,0.13990605625422
"LIV1",-0.223647658420281,0.164467532467532,-0.159350935093509,-0.100887961048499,-0.129565217391304,-0.135128205128205,-0.15,-0.138424908424908,-0.126039793662491,-0.13974358974359,-0.104616990456714,-0.16784434203789,0.0884084084084084,-0.138039793662491,0.0884795321637427,-0.123809523809524,0.0860405077734988,-0.160102406554019,0.169953238748074,0.123652476918143,-0.123987776928953,-0.117927170868347,-0.08,-0.106619828259173,-0.0931028439574004,-0.1,-0.08,-0.1,0.0254221720308677,0.104824570702966,-0.166771420566256,-0.169953238748074,-0.169953238748074,-0.0911111111111111,0.2,0.131638050152997,-0.0308559028448531,-0.0933289096539353,-0.0911220131022111,-0.0911111111111111,-0.0874183093985074,0.115448343079922,0.130263157894737,0.176070489844683,0.161142957932798,-0.117466307277628,0.0647344660021367,0.193070489844683,0.0027651954904908,0.125,-0.157631717606603,0.196774193548387,0.2,0.16,0.13990605625422
"TCFLEF",-0.149852383483962,-0.264523274489162,-0.294266850913557,-0.100701311359206,-0.260662020905923,-0.0382910887932409,-0.15974025974026,-0.0313143446071944,-0.271682429069189,-0.0402518731069664,-0.216031144815987,-0.158133667502089,-0.182606837606838,-0.263519163763066,-0.175253896430367,-0.0794871794871795,-0.183328430591858,-0.14532296004511,-0.212785258956739,0.0818740362978817,-0.0506021544926131,-0.0608825283243888,0.150980392156863,-0.00303985230455819,-0.161701313273418,-0.114285714285714,0.158333333333333,0.133333333333333,0.177071672220337,0.15061951010681,0.221852276039525,0.212785258956739,0.212785258956739,0.170980392156863,-0.0333333333333333,0.0462975187310237,-0.0598654543784727,0.102065870652721,0.098457623230041,0.178333333333333,0.190782938235768,0.214148394382616,0.202191872643486,-0.0272582058748692,0.137622862942874,0.537932600732601,0.323057201169359,-0.0223502304147465,0.085699312310191,0.19574025974026,0.426652622569458,-0.0142857142857143,-5.55111512312578e-18,0.272857142857143,0.0951380413428606
"ZEB2",-0.150768546759635,-0.140150512101637,-0.0987545787545788,-0.0921880290957098,-0.0692982456140351,-0.0633846153846154,-0.0555555555555556,-0.0519092055485498,-0.0504548152442475,-0.0487179487179487,-0.0482507394710607,-0.0410749110044885,-0.0385964912280702,-0.0370401810979061,-0.0319347319347319,-0.0298701298701299,-0.0291824383567503,-0.028879789053269,-0.0235714285714286,-0.0225614130543453,-0.0219047619047619,-0.0171428571428571,-0.00909090909090909,-0.00124026234914141,-0.000104049220825315,0,0,0,0.00152251551830335,0.0201258741258741,0.0220724992352401,0.0235714285714286,0.0235714285714286,0.0242424242424242,0.025,0.0303703703703704,0.0307890499194847,0.0309613876774737,0.0326496993657854,0.0333333333333333,0.0358187134502924,0.0363629283489097,0.0391666666666667,0.0437836553690212,0.0448612677644936,0.0461301441716872,0.0473327299582385,0.0528745644599303,0.0559148193377338,0.0680555555555556,0.0705950454051065,0.0821428571428571,0.0964285714285714,0.116666666666667,0.136886450162183
"Destcompl",0.391475045152196,-0.654609424420899,0.0109493655986204,-0.0775174368236348,-0.0761771561771562,0.114643556600078,-0.295238095238095,0.122459187862603,-0.0956694436503526,0.102687034860948,-0.24765396033986,0.150952380952381,-0.353600393336644,-0.0876525660132218,-0.353014215315856,0.241224489795918,-0.363589354462424,0.155747702589808,-0.530694986637319,-0.249756595361096,0.257558428089929,0.250190007037298,0.311904761904762,-0.0659954561181515,-0.092353930051238,-0.266666666666667,0.311904761904762,0.283333333333333,0.0156148645264211,-0.218090268499778,0.548905347704822,0.530694986637319,0.530694986637319,0.335192433137639,-0.188888888888889,-0.263962368976629,0.332285280580669,0.378533811823971,0.371955535434374,0.335192433137639,0.364421288859032,0.337479227528834,0.325398690616082,-0.285051421781737,-0.137902097902098,0.41245845104477,0.370430251289781,-0.271705193541892,0.36887385226269,0.308281573498965,0.632181124431369,-0.252534209085933,-0.226819923371648,0.061025641025641,-0.340242959509334
