"","ZEB2","ZEB1","AXIN2","EGR1","PAK1","CD44","CDC42","TGF","SRC","STAT","NFB","AKT","IKK","RAF","miR200","KLF4","Csn","SNAI1","ILK","SMAD","TrCP","SMO","FUS","SHH","TWIST1","Jagged","NOTCH","GSK3","FOXC2","NOTCHic","Csl","Patched","HEY1","SUFU","Destcompl","SOSGRB2","PI3K","DELTA","RAS","DSH","RKIP","Frizzled","LIV1","Ecadherin","Wnt","GLI","TGFR","cMet","TCFLEF","cateninnuc","ERK","cateninmemb","MEK","SNAI2","cfos"
"CD44",-0.263492063492063,-0.263492063492063,0.06,0,-0.2,0.03,-0.26,-0.285,0.2,0.1,-0.2,-0.206666666666667,-0.2,-0.128571428571429,-0.170913482652613,-0.353968253968254,-0.1,-0.260233918128655,-0.122222222222222,-0.120181405895692,0,-0.1,-0.1,-0.12,-0.228498168498168,-0.109277389277389,-0.00902255639097744,-0.135119047619048,0.119166666666667,0.0142857142857143,0,0.12,0.116374269005848,0.1,-0.087067554294445,0.0690476190476191,0.128571428571429,0.128571428571429,0.142857142857143,0,0.115925925925926,-0.1,-0.1,0.0225996091629573,-0.05,-0.03,0.285,-0.15,-0.0276744186046512,-0.0276744186046512,0.07,-0.0285531135531136,0.09,0.289226329226329,0.05
"PI3K",-0.263392002207183,-0.263392002207183,-0.160857142857143,-0.2,-0.3,-0.117532515793385,-0.317647058823529,-0.307208034433285,-0.111111111111111,-0.1,-0.266666666666667,-0.281749622926094,-0.284313725490196,-0.275099567099567,-0.1425608544461,-0.265789473684211,-0.233333333333333,-0.217705314009662,-0.033093237294918,-0.032293237294918,-0.2,0,0,0.00277777777777778,-0.111783140436027,0.0223684210526316,0.15893300248139,-0.228860028860029,0.107879210220674,-0.165384615384615,-0.15,0,0.0464198029125887,0,-0.026492108813655,0.176923076923077,0.275099567099567,0.275099567099567,0.275099567099567,0.1,0.266047188106012,0.111111111111111,0.1,0.0802678210107682,0.106763285024155,0.117532515793385,0.309647058823529,0.106763285024155,0.118097487544798,0.11954078651387,0.269747899159664,0.0892444355765614,0.258272489323598,0.181517468810485,0.228571428571429
"ZEB2",-0.237082282923671,-0.237082282923671,-0.209273310390116,-0.183333333333333,-0.176623376623377,-0.172748538011696,-0.171168831168831,-0.161645021645022,-0.156666666666667,-0.15,-0.145833333333333,-0.144545690550363,-0.143611111111111,-0.138787878787879,-0.136218779479452,-0.134597423468456,-0.133333333333333,-0.111297243021449,-0.106214208326884,-0.104384940034201,-0.1,-0.0885714285714286,-0.0857142857142857,-0.0773297434273044,-0.0478076014392039,-0.04103162091116,-0.0274602774274906,0.00665220055058428,0.0315586635586636,0.0345641025641026,0.0358974358974359,0.0836933797909408,0.0962463343108504,0.1,0.102852712370466,0.114487179487179,0.138787878787879,0.138787878787879,0.139002011550191,0.140909090909091,0.146135265700483,0.147575757575758,0.15,0.153896343868374,0.157832167832168,0.163336754988131,0.166406926406926,0.16719298245614,0.17521332674409,0.178200339731103,0.192671194114318,0.192964611362219,0.19389070630944,0.195006153080202,0.199122807017544
"RAF",-0.232532759445241,-0.232532759445241,-0.247198781059541,-0.02,-0.3,-0.215047233468286,-0.28,-0.247111704494882,-0.166666666666667,-0.1,-0.214285714285714,-0.260497835497835,-0.239285714285714,-0.277597402597403,-0.126767797070561,-0.246532759445242,-0.2,-0.272302187747521,-0.122175866495507,-0.1152451734262,-0.2,-0.1,-0.1,-0.0718032786885246,-0.120787284610814,-0.0342853100493168,0.0822843822843823,-0.1876280535855,0.0737842617152962,-0.0515151515151515,-0.0333333333333333,0.08,0.11831204026326,0.1,0.0339869745807731,0.207047619047619,0.277597402597403,0.277597402597403,0.28528971028971,0.1,0.153081232492997,0.166666666666667,0,0.273735369097392,0.196666666666667,0.208205128205128,0.27047619047619,0.203508771929825,0.232529750950804,0.241944509220524,0.137241379310345,0.294867136043607,0.169156272927366,0.49610129976103,0.12
"STAT",-0.229567868029406,-0.229567868029406,0.217471548059783,-0.2,-0.277272727272727,0.174823787323787,-0.283522727272727,-0.306825549545801,0.151785714285714,0.114285714285714,-0.02,-0.000629539951573851,-0.00571428571428572,0.0909532671629446,-0.119380038553245,-0.328035254505843,0,-0.155573657935677,-0.0413848631239936,-0.0402354378366372,0,-0.0566666666666667,-0.05,-0.08091033820402,-0.261947813971802,-0.103411677675649,-0.0957882497002999,-0.0664819759679573,-0.030719836400818,0.0851086380498145,0.0607843137254902,0.0729457364341085,0.0346666666666667,0.05,-0.0929937159238448,0.00882594417077175,-0.0909532671629446,-0.0909532671629446,-0.091699535819661,-0.114285714285714,0.194250321750322,-0.151785714285714,-0.2,-0.154942253675826,-0.165422077922078,-0.17466577540107,0.296680622009569,-0.165422077922078,-0.183341137481516,-0.191326834740157,0.228235294117647,-0.223718533428643,0.227160025300443,-0.0539551045320817,0.24
"Wnt",-0.22702056432329,-0.22702056432329,-0.167272727272727,-0.1,-0.3,-0.119736842105263,-0.266666666666667,-0.255942028985507,-0.1,-0.1,-0.133333333333333,-0.165833333333333,-0.153333333333333,-0.227067669172932,-0.11949494949495,-0.23921568627451,-0.1,-0.158333333333333,-0.0299145299145299,-0.0182866229377857,-0.1,0,0,0.0138528138528139,-0.0708823529411765,0.0247303921568627,0.160714285714286,-0.107836990595611,0.0820242914979757,-0.135714285714286,-0.15,-0.00909090909090909,0.041025641025641,0,-0.00993321813851399,0.121212121212121,0.227067669172932,0.227067669172932,0.236158578263841,0.2,0.228333333333333,0.2,0,0.0949299389307257,0.125,0.119736842105263,0.273333333333333,0.125,0.130451127819549,0.131113379475178,0.2,0.111864406779661,0.241176470588235,0.165948275862069,0.2
"Frizzled",-0.220089871253983,-0.220089871253983,-0.176575052854123,-0.2,-0.266666666666667,-0.130451127819549,-0.273333333333333,-0.251180124223603,-0.125,-0.1,-0.153333333333333,-0.159583333333333,-0.165833333333333,-0.236158578263841,-0.11949494949495,-0.224929971988796,-0.133333333333333,-0.148809523809524,-0.0182866229377857,-0.0192212023770381,-0.1,0.00909090909090909,0,0.0203044267560397,-0.0661204481792717,0.0358415032679739,0.150910364145658,-0.113291536050157,0.0890010356840222,-0.160714285714286,-0.135714285714286,-0.0138528138528139,0.0346426623022368,0,-0.00701544625522486,0.13030303030303,0.236158578263841,0.236158578263841,0.232221570389826,0.2,0.228333333333333,0.125,0.1,0.0998250438258306,0.119736842105263,0.130451127819549,0.255942028985507,0.119736842105263,0.131113379475178,0.133970522332321,0.241176470588235,0.109642184557439,0.218954248366013,0.16563281844882,0.2
"DSH",-0.215365461805164,-0.215365461805164,-0.180372521208553,-0.2,-0.273333333333333,-0.131113379475178,-0.255942028985507,-0.243166186941373,-0.119736842105263,-0.125,-0.165833333333333,-0.158433908045977,-0.159583333333333,-0.232221570389826,-0.115836412909584,-0.218133855483941,-0.153333333333333,-0.149679089026915,-0.0192212023770381,-0.0135608250185475,-0.133333333333333,0.0138528138528139,0.00909090909090909,0.0233719114186163,-0.0618651290303356,0.0358415032679739,0.161399874635169,-0.108883183381943,0.0859707326537192,-0.150910364145658,-0.160714285714286,-0.0203044267560397,0.0346426623022368,0,-0.00854216381247677,0.110790835181079,0.232221570389826,0.232221570389826,0.235302802882823,0.125,0.22483682983683,0.119736842105263,0.1,0.0999128401383855,0.130451127819549,0.131104722590791,0.251180124223603,0.130451127819549,0.133970522332321,0.134237663917361,0.218954248366013,0.113529110352492,0.22421740626075,0.16551640401343,0.241176470588235
"SRC",-0.208333333333333,-0.208333333333333,0.191021717880063,-0.3,-0.311111111111111,0.154754098360656,-0.311111111111111,-0.325656565656566,0.1,0.2,-0.0666666666666667,-0.0841880341880342,-0.0897435897435898,-0.135969962453066,-0.115871761089152,-0.310658914728682,-0.1,-0.172186663335483,-0.00109649122807018,-0.00560099573257468,-0.1,-0.0166666666666667,-0.0166666666666667,-0.0291938997821351,-0.200308197549577,-0.0494989414255469,0.0628571428571428,-0.0777489177489177,0.0479878618113912,-0.0842857142857143,-0.07,0.0203703703703704,0.03670969877524,-0.0333333333333333,-0.0715201465201465,0,0.135969962453066,0.135969962453066,0.123848750331854,-0.1,0.296774193548387,-0.1,-0.2,-0.141445618651501,-0.14,-0.154754098360656,0.311111111111111,-0.14,-0.165729708116753,-0.170875121986999,0.287878787878788,-0.208291797635085,0.278444825614637,-0.092354712596851,0.254545454545455
"Csl",-0.207491748294054,-0.207491748294054,0.0627674688248487,-0.253333333333333,-0.215111111111111,0.0637847866419295,-0.221562724014337,-0.231603598113446,0.0521678321678322,0.0430769230769231,-0.0333333333333333,-0.024031007751938,-0.0263565891472868,0.00158323435684755,-0.105247671089222,-0.206048999309869,-0.0444444444444444,-0.123532297010558,-0.0278520041109969,-0.0300742263332191,-0.0333333333333333,-0.0469079939668175,-0.041025641025641,-0.0518579383494649,-0.144485529441744,-0.0540374186918061,-0.045028553789165,0.0165340821943285,-0.00890452732817265,0.0413921901528014,0.0361290322580645,0.0501338004184304,-0.0732065490633265,0.0333333333333333,-0.0230816528202269,0.0697109736647606,-0.00158323435684755,-0.00158323435684755,-0.00525970494508285,-0.0430769230769231,0.169925717850642,-0.0521678321678322,-0.02,-0.104787517928084,-0.0575441762538537,-0.0639957891570795,0.22729520809077,-0.0576623376623377,-0.0688229545808608,-0.071510204437922,0.236190476190476,-0.0883764070574416,0.235103519668737,0.0838282468676695,0.239047619047619
