"","EGR1","cfos","SOSGRB2","MEK","ERK","cateninmemb","AXIN2","Jagged","LIV1","PI3K","AKT","NOTCHic","Csl","NOTCH","STAT","Frizzled","DSH","ILK","HEY1","SNAI1","FOXC2","RKIP","TWIST1","SNAI2","GLI","Wnt","SMAD","TCFLEF","cateninnuc","SHH","CD44","SMO","Patched","cMet","SRC","FUS","IKK","RAF","DELTA","RAS","NFB","TrCP","SUFU","Csn","Ecadherin","Destcompl","ZEB2","ZEB1","TGF","TGFR","CDC42","miR200","PAK1","KLF4","GSK3"
"PI3K",-0.0333333333333333,-0.0333333333333333,-0.112692307692308,-0.0225329476052716,-0.0274509803921569,0.0781718616527101,-0.248666666666667,-0.0598245614035088,-0.1,0.260709956709957,0.280241327300151,-0.175,-0.175,-0.184677419354839,-0.2,-0.188888888888889,-0.2,0.0453381352541016,0.0577405576295698,-0.213900966183575,-0.227635307781649,0.215416936005171,-0.0316770186335404,0.0534992266877651,0.218320327015979,0.210628019323672,-0.0461381352541016,0.222275129275866,0.223306057110918,0.0117521367521368,0.218320327015979,0.0166666666666667,0.00897435897435897,0.210628019323672,0.188888888888889,0,-0.272549019607843,-0.260709956709957,-0.260709956709957,-0.263449682737354,-0.266666666666667,-0.2,0,-0.233333333333333,0.0508389655092216,-0.28601853304467,-0.102943911582842,-0.102943911582842,0.22532137733142,0.222882352941176,0.230882352941176,0.0634141593157987,0.225,-0.0888157894736842,-0.399963924963925
"ILK",-0.0333333333333333,-0.0333333333333333,-0.112692307692308,-0.0225329476052716,-0.0274509803921569,0.0781718616527101,-0.248666666666667,-0.0598245614035088,-0.1,0.260709956709957,0.280241327300151,-0.175,-0.175,-0.184677419354839,-0.2,-0.188888888888889,-0.2,0.0453381352541016,0.0577405576295698,-0.213900966183575,-0.227635307781649,0.215416936005171,-0.0316770186335404,0.0534992266877651,0.218320327015979,0.210628019323672,-0.0461381352541016,0.222275129275866,0.223306057110918,0.0117521367521368,0.218320327015979,0.0166666666666667,0.00897435897435897,0.210628019323672,0.188888888888889,0,-0.272549019607843,-0.260709956709957,-0.260709956709957,-0.263449682737354,-0.266666666666667,-0.2,0,-0.233333333333333,0.0508389655092216,-0.28601853304467,-0.102943911582842,-0.102943911582842,0.22532137733142,0.222882352941176,0.230882352941176,0.0634141593157987,0.225,-0.0888157894736842,-0.399963924963925
"Patched",-0.1,0,-0.05,-0.0984615384615385,-0.06,-0.0907885304659498,0.219047619047619,0.0768253968253968,0.1,0.192307692307692,0.114285714285714,-0.0333333333333333,0,-0.0424242424242424,0.1,0.2,0.2,0.0166666666666667,0.00769230769230769,-0.233870967741935,-0.1,0.245714285714286,0.153703703703704,0.0369961685823755,-0.15,-0.15,-0.0166666666666667,-0.0455555555555556,-0.0484681769147789,-0.186666666666667,-0.0566666666666667,-0.0666666666666667,-0.186666666666667,-0.05,-0.1,-0.1,-0.1,-0.192307692307692,-0.192307692307692,-0.198557692307692,-0.1,0,0,0,0.02292071197411,-0.202557442557443,-0.1,-0.1,0.181666666666667,0.173333333333333,0.133333333333333,0.0642857142857143,0.0333333333333333,-0.0666666666666667,-0.192307692307692
"MEK",0.2,0.168965517241379,0.0851428571428571,0.104958425042798,0.196625091709464,0.115179327718783,-0.0688707695036809,-0.135324197590751,0,0.106526806526807,-0.0938712757830405,-0.130885780885781,-0.142424242424242,-0.14183468599527,-0.0666666666666667,-0.0466666666666667,-0.0666666666666667,-0.0978082885310354,-0.0888184985745961,-0.109843169057929,-0.115538350021109,0.0102978033318591,0.0268058738646974,0.141291273507142,0.0631002331002331,0.0582051282051282,0.0937492479406295,0.0670563064898139,0.0663128120660221,0.118319082824387,0.0673107594160226,0.117333333333333,0.118972677595628,0.0624156545209177,0.0508771929824561,0.113333333333333,0.0926948051948052,-0.106526806526807,-0.106526806526807,-0.106844266844267,0.101785714285714,0.1,0.133333333333333,0.114285714285714,-0.0825042688464673,-0.265165323779709,-0.096421079000706,-0.096421079000706,0.160329587868983,0.157409879839786,0.171428571428571,0.0675687548187436,0.166666666666667,-0.0808225729316117,-0.287009156158092
"FUS",-0.06,-0.0984615384615385,-0.0917004048582996,-0.0965806607185918,-0.0954312354312354,-0.089857431769488,0.211529949311059,0.0757066360680819,0.1,0.193906529516995,0.122131868131868,-0.0324242424242424,-0.0424242424242424,-0.0392424242424242,0.05,0.15,0.15,0.0277777777777778,0.025497690715082,-0.222550213024954,-0.0962341197822142,0.245313369333988,0.140568501979035,0.0300251503725781,-0.140811965811966,-0.138888888888889,-0.0322939068100358,-0.0499719363132751,-0.051330631965449,-0.18969696969697,-0.0484681769147789,-0.186666666666667,-0.186666666666667,-0.0455555555555556,-0.0566666666666667,-0.186666666666667,-0.118285714285714,-0.193906529516995,-0.193906529516995,-0.195216573185117,-0.114285714285714,-0.1,-0.0666666666666667,-0.1,0.0212435143802163,-0.201636263357533,-0.0951752105646251,-0.0951752105646251,0.173069771899559,0.176261261261261,0.181666666666667,0.051677618033051,0.173333333333333,-0.0769125683060109,-0.183839335000162
"AKT",-0.0333333333333333,-0.0274509803921569,-0.101581196581197,-0.026330415959702,-0.0225329476052716,0.0774583040584186,-0.25552587244284,-0.0618113163703962,-0.2,0.263449682737354,0.185291832350656,-0.184677419354839,-0.175,-0.187116443745083,-0.188888888888889,-0.210628019323672,-0.188888888888889,0.0461381352541016,0.0599961967273142,-0.213650339617159,-0.225379668683905,0.211069109918215,-0.0362641745968431,0.0540017392505792,0.222230941541119,0.218320327015979,-0.0444546335706,0.223306057110918,0.226382980187841,0.0138573999100315,0.222275129275866,0.00897435897435897,0.0117521367521368,0.218320327015979,0.210628019323672,0.0166666666666667,-0.280241327300151,-0.263449682737354,-0.263449682737354,-0.264172574303619,-0.272549019607843,-0.233333333333333,0,-0.266666666666667,0.0497783594486155,-0.288417209636895,-0.0940398019938013,-0.0940398019938013,0.225019262527795,0.22532137733142,0.222882352941176,0.0516494534334457,0.230882352941176,-0.106764507422402,-0.403996183028441
"ERK",0.168965517241379,0.196625091709464,0.101647711511789,0.0924236061012936,0.104958425042798,0.113063412355397,-0.0709845906418923,-0.133516968675088,-0.0666666666666667,0.106844266844267,-0.0920364133977194,-0.14183468599527,-0.130885780885781,-0.141003661064522,-0.0508771929824561,-0.0582051282051282,-0.0466666666666667,-0.0937492479406295,-0.0843816385063368,-0.10683390979867,-0.109897324380083,0.00110560277475599,0.0238932525054741,0.142824186040957,0.062348353400985,0.0631002331002331,0.0980045670895656,0.0663128120660221,0.0686739231771332,0.117352899249507,0.0670563064898139,0.118972677595628,0.118319082824387,0.0673107594160226,0.0624156545209177,0.117333333333333,0.0938712757830405,-0.106844266844267,-0.106844266844267,-0.107834365854168,0.0926948051948052,0.114285714285714,0.113333333333333,0.101785714285714,-0.0832938328698109,-0.266330299352802,-0.0858698978983438,-0.0858698978983438,0.160329587868983,0.160329587868983,0.157409879839786,0.0553138528579593,0.171428571428571,-0.0978768364975031,-0.289461472234387
"SUFU",-0.0984615384615385,-0.0954312354312354,-0.0854066985645933,-0.103814703271783,-0.0965806607185918,-0.0913581138977281,0.212232525423471,0.0783194626714073,0.05,0.195216573185117,0.12414529095066,-0.0392424242424242,-0.0324242424242424,-0.0336868686868687,0.0566666666666667,0.138888888888889,0.15,0.0322939068100358,0.0303169678235158,-0.220335562258344,-0.089534367921172,0.235109287701335,0.136238605071818,0.0300910699506928,-0.142670701871445,-0.140811965811966,-0.0311391723989504,-0.051330631965449,-0.050563368538339,-0.193171873171873,-0.0499719363132751,-0.186666666666667,-0.18969696969697,-0.0484681769147789,-0.0455555555555556,-0.186666666666667,-0.122131868131868,-0.195216573185117,-0.195216573185117,-0.196165940273724,-0.118285714285714,-0.1,-0.186666666666667,-0.114285714285714,0.020316634874552,-0.201902079412823,-0.0850302830283932,-0.0850302830283932,0.168533282747685,0.173069771899559,0.176261261261261,0.0408969488880696,0.181666666666667,-0.088289813814993,-0.184353473817643
"SMO",0,-0.06,-0.0763157894736842,-0.0954312354312354,-0.0984615384615385,-0.0907885304659498,0.212151067323481,0.0696825396825397,0.1,0.198557692307692,0.118285714285714,-0.0424242424242424,-0.0333333333333333,-0.0324242424242424,0.1,0.15,0.2,0.0166666666666667,0.0124542124542125,-0.233870967741935,-0.0896551724137931,0.24015873015873,0.138997821350763,0.0312818828680898,-0.138888888888889,-0.15,-0.0277777777777778,-0.0484681769147789,-0.0499719363132751,-0.186666666666667,-0.0455555555555556,-0.186666666666667,-0.186666666666667,-0.0566666666666667,-0.05,-0.0666666666666667,-0.114285714285714,-0.198557692307692,-0.198557692307692,-0.193906529516995,-0.1,0,-0.1,-0.1,0.0195996787637779,-0.201782248758993,-0.0847457627118644,-0.0847457627118644,0.176261261261261,0.181666666666667,0.173333333333333,0.0427667269439421,0.133333333333333,-0.0916666666666667,-0.185511575802838
"NOTCH",-0.2,-0.26,-0.235789473684211,-0.212380952380952,-0.226666666666667,0.0138882222415885,0.0123989218328841,0.0425108225108225,0,0.0533333333333333,0.0777777777777778,0.134285714285714,0.12,0.0246082949308756,0,0.02,0,0.0714285714285714,-0.0289855072463768,-0.0370512820512821,0.02,0.0941644562334217,0.0816949152542373,0.0566029830735713,-0.00927738927738928,-0.0123076923076923,-0.0747619047619048,-0.0103762903762904,-0.012417106702821,-0.066025641025641,-0.00927738927738928,-0.0583333333333333,-0.066025641025641,-0.0123076923076923,-0.02,-0.0333333333333333,-0.0666666666666667,-0.0533333333333333,-0.0533333333333333,-0.0518840579710145,-0.0333333333333333,0,0,0,-0.0274408602150538,-0.00664843214375925,-0.0751207729468599,-0.0751207729468599,0.165663082437276,0.168888888888889,0.188888888888889,0.0501298701298701,0.2,-0.0528985507246377,0.0279432253570185
