"","FOXC2","miR200","NOTCHic","NOTCH","HEY1","LIV1","Csl","SMAD","Patched","SHH","Csn","TWIST1","RAF","PI3K","NFB","cfos","STAT","Frizzled","SNAI1","SRC","CD44","ZEB1","ZEB2","Ecadherin","PAK1","TGF","TGFR","SOSGRB2","cMet","CDC42","TCFLEF","cateninnuc","cateninmemb","Wnt","GLI","ERK","SNAI2","AXIN2","MEK","RKIP","DSH","IKK","AKT","RAS","EGR1","DELTA","ILK","KLF4","TrCP","Jagged","SMO","FUS","Destcompl","SUFU","GSK3"
"SNAI2",0.392745774182478,-0.0933232341301219,0.0982456140350877,0.0839598997493734,0.0188215792646172,-0.26,0.117543859649123,-0.00281272964742201,-0.275606242496999,-0.272789341088548,0.2,0.361527284389789,-0.361885550617618,-0.361885550617618,0.275,0.276470588235294,-0.287272727272727,-0.287272727272727,0.339321897044822,-0.287272727272727,-0.268811421805515,0.279251101321586,-0.279251101321586,0.44539514036522,0.0509803921568627,0.0737334844751724,0.071249012425483,0.175287356321839,0.27741357234315,0.065266106442577,0.264069153764278,0.262050520223906,0.399737662126771,0.27741357234315,0.269392181968818,-0.329411764705882,-0.00482583971468318,0.338607009319187,-0.356438791732909,-0.347820512820513,0.287272727272727,-0.312931034482759,-0.333412962193602,0.36645176066328,-0.2,0.361885550617618,-0.000536552649228705,-0.276346153846154,-0.1,-0.273357992033343,0.277647058823529,0.26,0.431734706830141,0.2,0.400906143508561
"KLF4",0.345782639869149,-0.0626862026862027,0.0316746411483254,0.0203344349627584,0.0110771581359817,-0.233333333333333,0.0527272727272727,-0.00423188405797102,-0.220833333333333,-0.21760752688172,0.2,0.306758169934641,-0.311923076923077,-0.311923076923077,0.26,0.263636363636364,-0.233333333333333,-0.215686274509804,0.291637919099429,-0.215686274509804,-0.19158111778584,0.239241486068111,-0.239241486068111,0.265168400406037,0.0590909090909091,0.0729120473022912,0.0724242424242424,0.126943967981704,0.199407204742362,0.0710909090909091,0.189239980662095,0.188866381658359,0.325508995295581,0.199407204742362,0.192510653018224,-0.304812834224599,-0.322434759246702,0.268811421805515,-0.318214896080269,-0.313296227581942,0.233333333333333,-0.283809523809524,-0.294920634920635,0.31118778280543,-0.2,0.311923076923077,0.00133333333333333,-0.240740740740741,-0.1,-0.202066239607469,0.233333333333333,0.233333333333333,0.379033401593776,0.2,0.351570176474405
"HEY1",0.345782639869149,-0.0626862026862027,0.0316746411483254,0.0203344349627584,0.0110771581359817,-0.233333333333333,0.0527272727272727,-0.00423188405797102,-0.220833333333333,-0.21760752688172,0.2,0.306758169934641,-0.311923076923077,-0.311923076923077,0.26,0.263636363636364,-0.233333333333333,-0.215686274509804,0.291637919099429,-0.215686274509804,-0.19158111778584,0.239241486068111,-0.239241486068111,0.265168400406037,0.0590909090909091,0.0729120473022912,0.0724242424242424,0.126943967981704,0.199407204742362,0.0710909090909091,0.189239980662095,0.188866381658359,0.325508995295581,0.199407204742362,0.192510653018224,-0.304812834224599,-0.322434759246702,0.268811421805515,-0.318214896080269,-0.313296227581942,0.233333333333333,-0.283809523809524,-0.294920634920635,0.31118778280543,-0.2,0.311923076923077,0.00133333333333333,-0.240740740740741,-0.1,-0.202066239607469,0.233333333333333,0.233333333333333,0.379033401593776,0.2,0.351570176474405
"FOXC2",0.345782639869149,-0.0626862026862027,0.0316746411483254,0.0203344349627584,0.0110771581359817,-0.233333333333333,0.0527272727272727,-0.00423188405797102,-0.220833333333333,-0.21760752688172,0.2,0.306758169934641,-0.311923076923077,-0.311923076923077,0.26,0.263636363636364,-0.233333333333333,-0.215686274509804,0.291637919099429,-0.215686274509804,-0.19158111778584,0.239241486068111,-0.239241486068111,0.265168400406037,0.0590909090909091,0.0729120473022912,0.0724242424242424,0.126943967981704,0.199407204742362,0.0710909090909091,0.189239980662095,0.188866381658359,0.325508995295581,0.199407204742362,0.192510653018224,-0.304812834224599,-0.322434759246702,0.268811421805515,-0.318214896080269,-0.313296227581942,0.233333333333333,-0.283809523809524,-0.294920634920635,0.31118778280543,-0.2,0.311923076923077,0.00133333333333333,-0.240740740740741,-0.1,-0.202066239607469,0.233333333333333,0.233333333333333,0.379033401593776,0.2,0.351570176474405
"Ecadherin",0.345553806917204,-0.0598929065968172,0.0203344349627584,0.0132712379367361,0.00637917155880046,-0.233333333333333,0.0316746411483254,-0.00737958381584027,-0.21760752688172,-0.216032723732114,0.26,0.305454631759594,-0.31118778280543,-0.31118778280543,0.283809523809524,0.304812834224599,-0.215686274509804,-0.199407204742362,0.291005007707023,-0.199407204742362,-0.189239980662095,0.239241486068111,-0.239241486068111,0.165849997290166,0.0710909090909091,0.0705612335590724,0.0729120473022912,0.113786073244862,0.19158111778584,0.0724242424242424,0.188866381658359,0.189333235066388,0.326534636321222,0.192510653018224,0.190510653018224,-0.318214896080269,-0.323337829686196,0.264069153764278,-0.324097249021445,-0.317416077769208,0.215686274509804,-0.294920634920635,-0.296219336219336,0.31118778280543,-0.263636363636364,0.31118778280543,0.00423188405797102,-0.244538209095171,-0.2,-0.199549077136073,0.220833333333333,0.233333333333333,0.37949938481838,0.233333333333333,0.351570176474405
"cateninmemb",0.345553806917204,-0.0598929065968172,0.0203344349627584,0.0132712379367361,0.00637917155880046,-0.233333333333333,0.0316746411483254,-0.00737958381584027,-0.21760752688172,-0.216032723732114,0.26,0.305454631759594,-0.31118778280543,-0.31118778280543,0.283809523809524,0.304812834224599,-0.215686274509804,-0.199407204742362,0.291005007707023,-0.199407204742362,-0.189239980662095,0.239241486068111,-0.239241486068111,0.183375864046707,0.0710909090909091,0.0705612335590724,0.0729120473022912,0.113786073244862,0.19158111778584,0.0724242424242424,0.188866381658359,0.189333235066388,0.233079422109419,0.192510653018224,0.190510653018224,-0.318214896080269,-0.323337829686196,0.264069153764278,-0.324097249021445,-0.317416077769208,0.215686274509804,-0.294920634920635,-0.296219336219336,0.31118778280543,-0.263636363636364,0.31118778280543,0.00423188405797102,-0.244538209095171,-0.2,-0.199549077136073,0.220833333333333,0.233333333333333,0.37949938481838,0.233333333333333,0.351570176474405
"AXIN2",0.156980544825978,-0.062874598618109,-0.203859649122807,-0.199805595068753,-0.0080887900360517,0.266666666666667,-0.203859649122807,0.00385323211410168,0.196199633699634,0.191937338617667,0.144444444444444,-0.0243675876873984,-0.137314576068901,-0.137314576068901,0.148792270531401,0.182439024390244,0.3,0.302325581395349,0.23195800803109,0.302325581395349,0.285187541582448,0.202540562539709,-0.202540562539709,0.12300530448234,0.12,0.111766374277546,0.112756473287447,-0.0797016447787836,-0.293704891740176,0.116296296296296,-0.279677576752436,-0.27721324471612,-0.20175934935341,-0.293704891740176,-0.285528791111246,-0.175896968315478,0.311482108924511,0.132256004614811,-0.169690071763753,-0.254950766079798,-0.3,-0.144444444444444,-0.14,0.138626912026907,-0.18,0.137314576068901,-0.00464688290775247,-0.197471045901614,-0.133333333333333,0.262512094251225,-0.197985347985348,-0.188461538461538,0.30714208784629,-0.15,0.291808562655245
"CD44",0.29875,-0.0600966183574879,0.0142857142857143,0.0195488721804511,0.116374269005848,0.1,0,0.100907029478458,0.1,0.0909090909090909,0.1,0.293553113553114,-0.161904761904762,-0.161904761904762,0.2,0.05,0.1,-0.1,0.26477937267411,0,-0.21,0.196825396825397,-0.196825396825397,0.36938985995006,0.133333333333333,0.118888888888889,0.113333333333333,0.00476190476190476,0.05,0.113333333333333,0.244883720930233,0.254114490161002,0.360695970695971,0.15,0.21,-0.07,0.0535730935730936,0.22,-0.09,-0.115925925925926,0,-0.2,-0.22,0.193333333333333,0,0.161904761904762,-0.111111111111111,-0.0920634920634921,0,-0.17034965034965,-0.1,-0.1,0.279248062861508,-0.1,0.185119047619048
"cateninnuc",0.284470709618251,-0.0199830540285501,-0.0949210937385947,-0.0926483664658675,-0.0082671805623683,-0.0393939393939394,-0.0902699309478971,-0.00631090479930862,-0.0699071151387616,-0.0723036292999817,0.245833333333333,0.144449894069994,-0.250560340560341,-0.250560340560341,0.248863636363636,0.262180814354727,-0.024009324009324,-0.0226394609956254,0.241317490999305,-0.0212315462315462,-0.0231121535469362,0.19232221450352,-0.19232221450352,0.0425848315418995,0.096,0.0930687145510214,0.0919770114942529,0.0539567661661392,0.0223185027532854,0.096,0.0240830273333439,-0.075668422542381,0.0781621903262947,0.0237264175173645,0.0245169313513566,-0.263446637139538,-0.260029973185709,0.188866381658359,-0.257483334387244,-0.273060132588669,0.024009324009324,-0.244863636363636,-0.241738636363636,0.249213539213539,-0.263768115942029,0.250560340560341,0.00644733044733045,-0.193164674392432,-0.233333333333333,-0.033999568790841,0.070528233151184,0.0688888888888889,0.322783374969521,0.0888888888888889,0.296208635579341
"TCFLEF",0.435774748429407,0.0153680522957631,-0.0360274190977204,-0.0443330669382519,-0.0338247216671424,-0.1,-0.0340666347839949,-0.0351454910525052,-0.121612903225806,-0.117318424698199,0.123376623376623,0.247255022657283,-0.183516696170126,-0.183516696170126,0.127376623376623,0.264808362369338,-0.1,-0.100882352941176,0.234708894081279,-0.095,-0.0805668440574101,0.184356946659578,-0.184356946659578,0.203270396488959,0.1,0.100235264144996,0.101890893284069,-0.000366651312759096,0.0855982905982906,0.0953488372093023,-0.0218386542243768,-0.0226118501006655,0.140918235311839,0.0914806435394671,0.0865116994400882,-0.263855981416957,-0.297815786199517,0.434712576312576,-0.272699518831923,-0.259948569591771,0.105882352941176,-0.130602429828236,-0.133863299393454,0.183648102214804,-0.242857142857143,0.183516696170126,0.0326598313966735,-0.182819264069264,-0.114285714285714,-0.0765320587254938,0.12,0.12,0.347878932875908,0.1,0.237885452989282
