"","GSK3","AXIN2","cateninmemb","cateninnuc","CD44","cMet","SRC","Wnt","Frizzled","STAT","RAF","LIV1","Destcompl","AKT","IKK","NFB","NOTCHic","SNAI2","Csn","SOSGRB2","FOXC2","TGFR","TGF","TrCP","SUFU","FUS","SMO","TWIST1","SNAI1","SHH","Patched","MEK","ERK","RKIP","cfos","EGR1","CDC42","PAK1","ZEB2","ZEB1","SMAD","ILK","HEY1","NOTCH","Csl","miR200","KLF4","DSH","Jagged","PI3K","DELTA","RAS","Ecadherin","GLI","TCFLEF"
"AKT",0.210685580846871,-0.151052088705518,-0.0681167130905304,-0.0999289100101535,-0.102399964728631,-0.105224823485693,-0.106763285024155,-0.105224823485693,-0.106763285024155,-0.111111111111111,0.187401767182589,-0.1,0.0196848132018137,0.0909639380227616,0.187933634992458,0.205882352941176,-0.163399503722084,-0.0367139699045037,0.2,-0.128589743589744,-0.248428143529556,-0.229476805356289,-0.229174690552663,0.233333333333333,0,-0.0166666666666667,-0.0166666666666667,-0.0256612216992006,0.265770222658095,0.0253801169590643,0.0222222222222222,0.249579483173224,0.238187078109933,0.30230179028133,0.252941176470588,0.2,0.225411764705882,0.229411764705882,-0.11011365947976,-0.11011365947976,0.071695037611004,0.0693381352541016,0.0796817743076286,0.168277552502572,0.173076923076923,0.0557939371825582,-0.124612010796221,0.111111111111111,0.0708771929824561,-0.187401767182589,-0.187401767182589,-0.191498152724758,0.049032522353568,0.102431527396308,0.100544294625538
"AXIN2",0.113014434078507,0.265768274193301,-0.118666057566203,-0.132006909019245,-0.13420438705891,-0.137674418604651,-0.137674418604651,-0.137674418604651,-0.137674418604651,-0.14,0.071131926538501,-0.133333333333333,0.11423156244627,0.0628502415458937,0.0661835748792271,0.0647342995169082,-0.101785714285714,-0.172703301850305,0.0777777777777778,-0.0805465595647924,-0.122892018208177,-0.0916512345679012,-0.0919812675712016,0.0666666666666667,0.1,0.107692307692308,0.107692307692308,-0.00141897018164767,0.137401207743526,-0.104922986849216,-0.105906593406593,0.110979199253804,0.114427475115873,0.152095100240262,0.106016260162602,0.113333333333333,0.0916512345679012,0.0904166666666667,-0.104964490877422,-0.104964490877422,0.020629169542213,0.0210259949390384,0.0275717183425094,0.100434362934363,0.1,0.0668840785115287,-0.104025063934667,0.14,0.133050421963465,-0.071131926538501,-0.071131926538501,-0.0703445249636978,0.000352602523383062,0.134529764516601,0.132914820822099
"TrCP",-0.0785070346320346,-0.0435796387520525,-0.0206239188742213,-0.0246111847593582,-0.0248512869304949,-0.0208908908908909,-0.0262962962962963,-0.0210331384015595,-0.0262962962962963,-0.03,0.0244433816887188,-0.05,-0.0494207163829352,-0.0515107212475634,-0.0478070175438596,-0.0583333333333333,-0.05,0.193914275074767,-0.0583333333333333,-0.0835258525852585,-0.22089188240477,-0.216297428062134,-0.217936772324429,-0.0333333333333333,-0.0476190476190476,-0.0642857142857143,-0.073963133640553,-0.121465179747788,0.126706293515151,0.0801977015417876,0.0751977015417876,0.244099238516335,0.249432571849668,0.17621231438911,0.244347826086957,0.24,0.219327731092437,0.20952380952381,-0.0995517065256171,-0.0995517065256171,0.0782027649769585,0.0762672811059908,0.0788745333215745,0.0456043956043956,0.0423076923076923,0.0517319464318568,-0.0893525891230809,0.03,0.0400583674164963,-0.0244433816887188,-0.0244433816887188,-0.0203524725978098,0.0118986429298283,0.0244477725479009,0.0233698054490134
"EGR1",-0.0785070346320346,-0.0435796387520525,-0.0206239188742213,-0.0246111847593582,-0.0248512869304949,-0.0208908908908909,-0.0262962962962963,-0.0210331384015595,-0.0262962962962963,-0.03,0.0244433816887188,-0.05,-0.0494207163829352,-0.0515107212475634,-0.0478070175438596,-0.0583333333333333,-0.05,0.193914275074767,-0.0583333333333333,-0.0835258525852585,-0.22089188240477,-0.216297428062134,-0.217936772324429,-0.0333333333333333,-0.0476190476190476,-0.0642857142857143,-0.073963133640553,-0.121465179747788,0.126706293515151,0.0801977015417876,0.0751977015417876,0.244099238516335,0.249432571849668,0.17621231438911,0.244347826086957,0.24,0.219327731092437,0.20952380952381,-0.0995517065256171,-0.0995517065256171,0.0782027649769585,0.0762672811059908,0.0788745333215745,0.0456043956043956,0.0423076923076923,0.0517319464318568,-0.0893525891230809,0.03,0.0400583674164963,-0.0244433816887188,-0.0244433816887188,-0.0203524725978098,0.0118986429298283,0.0244477725479009,0.0233698054490134
"SNAI1",-0.0792331072392954,-0.0426472378196516,-0.0228691693060002,-0.0252823256989555,-0.0233698054490134,-0.0248512869304949,-0.0208908908908909,-0.0244477725479009,-0.0210331384015595,-0.0262962962962963,0.0203524725978098,-0.03,-0.0494207163829352,-0.0522051656920078,-0.0515107212475634,-0.0478070175438596,-0.0456043956043956,0.193947798373459,-0.0583333333333333,-0.0793749091890321,-0.220002428783423,-0.217936772324429,-0.216525482001848,-0.0583333333333333,-0.0642857142857143,-0.073963133640553,-0.0751977015417876,-0.121772872055481,0.0286635888888167,0.080003526784506,0.0801977015417876,0.246789821475976,0.244099238516335,0.175793904347269,0.249432571849668,0.244347826086957,0.216297428062134,0.219327731092437,-0.0940166511750636,-0.0940166511750636,0.0780797637469462,0.0782027649769585,0.0800650095120507,0.0492778649921507,0.05,0.0449115813982353,-0.0990099099953551,0.0262962962962963,0.0398230732988492,-0.0203524725978098,-0.0203524725978098,-0.0223229159475635,0.0115864681119303,0.0228024343394914,0.0246111847593582
"Frizzled",0.10760710553814,-0.131106412966878,-0.0293079096045198,-0.079128533253664,-0.0806390977443609,-0.0842105263157895,-0.1,-0.0842105263157895,-0.1,-0.1,0.139268626110731,-0.1,0.00885298902230286,0.0545833333333333,0.0733333333333333,0.0733333333333333,-0.160714285714286,0.0369457739584466,0.133333333333333,-0.136363636363636,-0.31005366726297,-0.286666666666667,-0.295238095238095,0.1,0,0,-0.0272727272727273,-0.104313725490196,0.204313319530711,0.0384862449378578,0.032034632034632,0.21442265795207,0.232941176470588,0.277142857142857,0.18,0.2,0.286666666666667,0.266666666666667,-0.0921469191395467,-0.0921469191395467,0.0776191351935755,0.0766845557543232,0.0874086197490453,0.146988795518207,0.135714285714286,0.0648926767676768,-0.0647058823529412,0,0.0637202911467617,-0.139268626110731,-0.139268626110731,-0.12903240563829,0.00773820331255422,0.0806390977443609,0.0786523427774735
"NOTCHic",-0.00290681105728128,0.0981716082659479,0.107509493600973,0.0927600643631178,0.0954645354645355,0.0921678321678322,0.0830769230769231,0.0921678321678322,0.0830769230769231,0.06,0.0791567852437418,0,0.052834830825485,-0.0217054263565891,-0.0333333333333333,-0.0444444444444444,-0.0167741935483871,0.259565260425805,-0.0333333333333333,-0.068755980861244,-0.2387952600395,-0.24878853046595,-0.249425473141109,0,-0.0333333333333333,-0.0583333333333333,-0.0814102564102564,-0.166455814945102,0.129344729344729,0.0985513063786309,0.0931749622926094,0.266190476190476,0.260476190476191,0.173581898108367,0.253333333333333,0.22,0.239111111111111,0.211111111111111,-0.0912238325281804,-0.0912238325281804,0.0812367249057896,0.0747619047619048,-0.0243701226309922,0.0220373514431239,-0.08,0.0452893926882366,-0.101673567977916,-0.06,-0.00774257873595622,-0.0791567852437418,-0.0791567852437418,-0.0816198394309339,-0.109288286789195,-0.0953936386194451,-0.0926073926073926
"cfos",-0.0810524891774892,-0.0435796387520525,-0.0222722705225729,-0.0233698054490134,-0.0208908908908909,-0.0262962962962963,-0.03,-0.0262962962962963,-0.03,-0.05,0.0220043572984749,-0.1,-0.049119964503236,-0.0478070175438596,-0.0583333333333333,-0.0583333333333333,-0.0423076923076923,0.192286788637154,-0.0333333333333333,-0.0805555555555556,-0.220202227232356,-0.219327731092437,-0.216297428062134,0,-0.0333333333333333,-0.0476190476190476,-0.0642857142857143,-0.122008658008658,0.127899610937586,0.0751977015417876,0.073963133640553,0.249432571849668,0.244347826086957,0.173449883449883,0.24,0.32,0.20952380952381,0.185714285714286,-0.0889407740497329,-0.0889407740497329,0.0762672811059908,0.0714285714285714,0.0744627686156921,0.05,0.05,0.0415796621678975,-0.105746031746032,0.05,0.0357638888888889,-0.0220043572984749,-0.0220043572984749,-0.0244433816887188,0.00864604777411895,0.0210331384015595,0.0248512869304949
"GSK3",0.00453913297887105,-0.127391791461377,-0.0311315560851664,-0.0793219179844134,-0.079128533253664,-0.0786523427774735,-0.0806390977443609,-0.0786783134306354,-0.0806390977443609,-0.0842105263157895,0.134354534489831,-0.1,0.00986923224309074,0.0589452549366342,0.0649281609195402,0.0545833333333333,-0.153282501811914,0.0406066513757537,0.0733333333333333,-0.129636466766359,-0.308458770931231,-0.29349593495935,-0.295034396497811,0.0733333333333333,-0.0272727272727273,-0.032034632034632,-0.0384862449378578,-0.103397460654243,0.205586370712761,0.043197549132533,0.0403267357354039,0.220185644965057,0.228708372237784,0.275400739611266,0.21442265795207,0.232941176470588,0.295238095238095,0.286666666666667,-0.086280601909141,-0.086280601909141,0.0808654365711886,0.0810153616086699,0.0925989311677304,0.14938639791581,0.146988795518207,0.0554382404882612,-0.0757190002659331,0.0842105263157895,0.0645509367643705,-0.134354534489831,-0.134354534489831,-0.129522601716722,0.00715696108001281,0.079150011543843,0.0788613916686239
"DELTA",-0.0103448275862069,0.0728571428571429,0.107292847997073,0.0954645354645355,0.0830769230769231,0.06,0,0.06,0,0,0.0533333333333333,0,0.0523706563706564,-0.0444444444444444,-0.0333333333333333,0,0.08,0.243187531422826,0,-0.08,-0.234285714285714,-0.211111111111111,-0.239111111111111,0,0,0,-0.0333333333333333,-0.162,0.133333333333333,0.0814102564102564,0.0583333333333333,0.253333333333333,0.22,0.174358974358974,0.2,0.1,0.2,0.2,-0.0838164251207729,-0.0838164251207729,0.0714285714285714,0.0666666666666667,-0.0333333333333333,-0.08,-0.1,0.0454545454545455,-0.105555555555556,0,-0.00337662337662337,-0.0533333333333333,-0.0533333333333333,-0.0806060606060606,-0.113473684210526,-0.0830769230769231,-0.0921678321678322
