"","TGFR","CDC42","TGF","FOXC2","NOTCHic","NOTCH","Csl","Jagged","FUS","TWIST1","SMO","Patched","SHH","SMAD","SNAI1","SUFU","miR200","RKIP","AKT","NFB","IKK","RAS","PI3K","DELTA","SRC","cateninmemb","STAT","EGR1","MEK","GSK3","LIV1","cfos","ERK","ZEB2","ZEB1","DSH","Ecadherin","TCFLEF","CD44","cateninnuc","RAF","GLI","Frizzled","cMet","AXIN2","Wnt","SNAI2","HEY1","Destcompl","ILK","Csn","TrCP","KLF4","SOSGRB2","PAK1"
"SRC",0.263888888888889,0.263888888888889,0.271161616161616,0.272212885154062,0.0638095238095238,0.0673809523809524,0.04,-0.0488902611150318,-0.0333333333333333,0.0934508020714917,-0.0333333333333333,-0.037037037037037,-0.037037037037037,-0.0581377430061641,0.166553046288825,-0.0333333333333333,-0.120357195139804,0.236331052460085,-0.150854700854701,-0.133333333333333,-0.156410256410256,0.0780376986384496,0.0810680016687526,0.0810680016687526,-0.075,-0.118459437209998,0,0.133333333333333,0.0268724985706118,0.0614718614718615,0,-0.0878787878787879,-0.0212121212121212,-0.218658280922432,-0.218658280922432,0.1,0.0902448858331211,0.069078368652539,0.0666393442622951,0.0719866460574607,-0.0810680016687526,0.0666393442622951,0.075,0.065,0.112391091844107,0.065,-0.0559307305222974,0.0686362131744455,0.106632027392897,0.0572368421052632,0.1,0.1,-0.11343669250646,-0.168571428571429,-0.288888888888889
"GLI",0.122116677510301,0.120229885057471,0.123293148098537,0.212884954420365,0.0165362511052166,0.0155838701528357,0.0290362511052166,0.0164586783936118,0.101785714285714,0.0952045530398671,0.0859962406015038,0.090077873254565,0.087197214818351,-0.00216324241829626,0.098974817792594,0.114285714285714,-0.103572505925447,0.080647201193378,0.0129481068743287,0.00526315789473684,0.0113856068743287,-0.0273785078443068,-0.027576527646287,-0.027576527646287,-0.0196774193548387,-0.0131112799580434,-0.01,0.00571428571428572,0.0425329458754873,0.0641739917803364,-0.05,-0.014047619047619,-0.0309307359307359,-0.208232036183649,-0.208232036183649,0.1,-0.028823006664285,0.02092969945489,0.0212543747795654,0.0206308351392893,0.027576527646287,0.0104283580281804,0.109677419354839,0.0221164437450826,0.0417632850241546,0.110853889943074,-0.205044369739679,0.00263329388966061,0.0377005474531241,0.00162270187775572,0,-0.0333333333333333,-0.207269841269841,-0.17688235068766,-0.113333333333333
"NOTCHic",0.199340501792115,0.192888888888889,0.199977444467274,0.190980908492429,0.00396313364055299,-0.00656318214892069,0.0942857142857143,-0.00734204230892973,-0.0333333333333333,0.0801035070887965,-0.041025641025641,-0.052790346907994,-0.0517150780907897,-0.0435868448098664,0.0885409035409036,-0.0333333333333333,-0.0998548657508195,0.0750600864248266,-0.0374677002583979,-0.0444444444444444,-0.0444444444444444,0.0141948506266347,0.0137022397891963,0.0137022397891963,0.0430769230769231,0.0667360041588758,0.02,-0.06,-0.0590476190476191,-0.0508636521959406,0,0.0933333333333333,0.0790476190476191,-0.201384863123994,-0.201384863123994,-0.02,-0.0958944933097948,-0.0294648208933923,-0.0306893106893107,-0.0311442102063694,-0.0137022397891963,-0.0307602075344011,-0.0430769230769231,-0.033986013986014,-0.0347836178496556,-0.033986013986014,-0.132824861099057,0.139219620958751,-0.0250178015131286,0.0414285714285714,0.0333333333333333,0,-0.200379572118703,-0.144593301435407,-0.188888888888889
"NOTCH",0.192888888888889,0.188888888888889,0.199340501792115,0.187755102040816,0.0942857142857143,0.00396313364055299,0.08,-0.00403078403078403,-0.0333333333333333,0.0794745762711864,-0.0333333333333333,-0.041025641025641,-0.052790346907994,-0.0414285714285714,0.0901282051282051,0,-0.1004329004329,0.0736516357206013,-0.0444444444444444,-0.0333333333333333,-0.0444444444444444,0.0137022397891963,0.0151515151515151,0.0151515151515151,0.02,0.066938843915468,0,0,-0.0790476190476191,-0.0525165447579241,0,0.06,0.0933333333333333,-0.200644122383253,-0.200644122383253,0,-0.0942099603848331,-0.0306893106893107,-0.033986013986014,-0.0294648208933923,-0.0151515151515151,-0.033986013986014,-0.02,-0.0430769230769231,-0.0361725067385445,-0.0430769230769231,-0.132223658694247,0.13768115942029,-0.0253511348464619,0.0380952380952381,0,0,-0.193236714975845,-0.153684210526316,-0.2
"Csl",0.199977444467274,0.199340501792115,0.198843657619201,0.190406195848751,-0.00656318214892069,-0.00929045487619342,0.00396313364055299,-0.00890454230892973,-0.041025641025641,0.079877773454485,-0.052790346907994,-0.0517150780907897,-0.0517150780907897,-0.0435868448098664,0.0873551327899154,-0.0333333333333333,-0.0992012709795777,0.0718342799732137,-0.0382428940568475,-0.0444444444444444,-0.0374677002583979,0.0152977918031053,0.0141948506266347,0.0141948506266347,0.033986013986014,0.0684179613454201,0.0430769230769231,-0.0933333333333333,-0.0557867494824017,-0.051010927600948,0.02,0.0790476190476191,0.0590476190476191,-0.200279890748303,-0.200279890748303,-0.0430769230769231,-0.0968247258679343,-0.0311442102063694,-0.0294648208933923,-0.0316587899662322,-0.0141948506266347,-0.0291473043085946,-0.033986013986014,-0.0306893106893107,-0.0334982708059538,-0.0307602075344011,-0.132601147452524,0.142487594814961,-0.0256881244869251,0.0435868448098664,0.0444444444444444,0.0333333333333333,-0.200379572118703,-0.153536390866301,-0.192888888888889
"CDC42",0.196358543417367,0.19047619047619,0.196358543417367,0.194535765525722,-0.00128205128205128,-0.0151282051282051,-0.0166666666666667,-0.0239236111111111,-0.019047619047619,0.093021645021645,-0.0357142857142857,-0.0518433179723502,-0.0506087500711156,-0.0450247482505547,0.0883445668255795,-0.0333333333333333,-0.0989856548680078,0.0793240093240093,-0.0478070175438596,-0.0583333333333333,-0.0583333333333333,0.0693235559806578,0.0668845315904139,0.0668845315904139,-0.01,-0.0146019430932043,-0.05,-0.06,-0.0815327929255711,-0.0272591991341991,-0.1,0.12,0.10695652173913,-0.199773242630385,-0.199773242630385,0.05,-0.0363010437762865,0.0319219219219219,0.0319219219219219,0.028958958958959,-0.0668845315904139,0.0316374269005848,0.01,0.0211111111111111,0.0470771756978654,0.0211111111111111,-0.199074477833602,0.0376811594202899,0.0604246959029663,0.0417989417989418,0.0333333333333333,0,-0.201650793650794,-0.145833333333333,-0.285714285714286
"TrCP",0.196358543417367,0.196358543417367,0.195265647242504,0.19591507587055,-0.0151282051282051,-0.0217216117216117,-0.00128205128205128,-0.0251506049761418,-0.0357142857142857,0.0919346884999059,-0.0518433179723502,-0.0506087500711156,-0.0486087500711156,-0.0450247482505547,0.0866739224341714,-0.019047619047619,-0.0984780406548098,0.0765615783847828,-0.0478070175438596,-0.0583333333333333,-0.0478070175438596,0.0711417377988397,0.0693235559806578,0.0693235559806578,-0.0211111111111111,-0.0114883899796512,-0.01,-0.12,-0.0748661262589045,-0.0268955627705628,-0.05,0.10695652173913,0.0815327929255711,-0.198808612405305,-0.198808612405305,0.01,-0.0362318396240374,0.028958958958959,0.0319219219219219,0.0284072348210279,-0.0693235559806578,0.0321252317786336,0.0211111111111111,0.0319219219219219,0.0489639681506955,0.0316374269005848,-0.198531982354398,0.0435635123614663,0.0592216883841693,0.0450247482505547,0.0583333333333333,0.0333333333333333,-0.200011449388499,-0.154744224422442,-0.19047619047619
"LIV1",0.196358543417367,0.196358543417367,0.195265647242504,0.19591507587055,-0.0151282051282051,-0.0217216117216117,-0.00128205128205128,-0.0251506049761418,-0.0357142857142857,0.0919346884999059,-0.0518433179723502,-0.0506087500711156,-0.0486087500711156,-0.0450247482505547,0.0866739224341714,-0.019047619047619,-0.0984780406548098,0.0765615783847828,-0.0478070175438596,-0.0583333333333333,-0.0478070175438596,0.0711417377988397,0.0693235559806578,0.0693235559806578,-0.0211111111111111,-0.0114883899796512,-0.01,-0.12,-0.0748661262589045,-0.0268955627705628,-0.05,0.10695652173913,0.0815327929255711,-0.198808612405305,-0.198808612405305,0.01,-0.0362318396240374,0.028958958958959,0.0319219219219219,0.0284072348210279,-0.0693235559806578,0.0321252317786336,0.0211111111111111,0.0319219219219219,0.0489639681506955,0.0316374269005848,-0.198531982354398,0.0435635123614663,0.0592216883841693,0.0450247482505547,0.0583333333333333,0.0333333333333333,-0.200011449388499,-0.154744224422442,-0.19047619047619
"EGR1",0.196358543417367,0.196358543417367,0.195265647242504,0.19591507587055,-0.0151282051282051,-0.0217216117216117,-0.00128205128205128,-0.0251506049761418,-0.0357142857142857,0.0919346884999059,-0.0518433179723502,-0.0506087500711156,-0.0486087500711156,-0.0450247482505547,0.0866739224341714,-0.019047619047619,-0.0984780406548098,0.0765615783847828,-0.0478070175438596,-0.0583333333333333,-0.0478070175438596,0.0711417377988397,0.0693235559806578,0.0693235559806578,-0.0211111111111111,-0.0114883899796512,-0.01,-0.12,-0.0748661262589045,-0.0268955627705628,-0.05,0.10695652173913,0.0815327929255711,-0.198808612405305,-0.198808612405305,0.01,-0.0362318396240374,0.028958958958959,0.0319219219219219,0.0284072348210279,-0.0693235559806578,0.0321252317786336,0.0211111111111111,0.0319219219219219,0.0489639681506955,0.0316374269005848,-0.198531982354398,0.0435635123614663,0.0592216883841693,0.0450247482505547,0.0583333333333333,0.0333333333333333,-0.200011449388499,-0.154744224422442,-0.19047619047619
"SNAI1",0.195265647242504,0.196358543417367,0.194055969823149,0.194517363037005,-0.0217216117216117,-0.0217216117216117,-0.0151282051282051,-0.0232682520349653,-0.0518433179723502,0.0895757141409315,-0.0506087500711156,-0.0486087500711156,-0.0484145753138341,-0.0431797298003702,-0.0129702056797076,-0.0357142857142857,-0.0978056102993824,0.0719590679245318,-0.0505847953216374,-0.0478070175438596,-0.0478070175438596,0.0704849233489218,0.0711417377988397,0.0711417377988397,-0.0319219219219219,-0.0112465937793058,-0.0211111111111111,-0.10695652173913,-0.0789020006983663,-0.0293378069949852,-0.01,0.0815327929255711,0.0748661262589045,-0.197701601335194,-0.197701601335194,0.0211111111111111,-0.0356595191245577,0.0284072348210279,0.028958958958959,0.0288718708561338,-0.0711417377988397,0.0290173707183045,0.0316374269005848,0.0319219219219219,0.0477984669851944,0.0321252317786336,-0.19843141245832,0.0447539885519425,0.0586734427701342,0.0450247482505547,0.0583333333333333,0.0583333333333333,-0.197830764030243,-0.163423469705461,-0.196358543417367
