"","Ecadherin","cateninmemb","ZEB1","FOXC2","TWIST1","RAF","PI3K","DELTA","Frizzled","DSH","TCFLEF","CD44","SMO","FUS","AXIN2","NOTCHic","NOTCH","Csl","PAK1","CDC42","TGF","TGFR","SNAI2","Jagged","SOSGRB2","AKT","IKK","NFB","Csn","EGR1","ERK","MEK","cfos","HEY1","TrCP","LIV1","SMAD","ILK","Destcompl","SUFU","Patched","SHH","STAT","SRC","cMet","RAS","Wnt","cateninnuc","miR200","GLI","SNAI1","RKIP","GSK3","ZEB2","KLF4"
"GLI",0.0694238375664447,0.0247469129773236,0.275449735449735,0.31203753869969,0.177160596430545,0.162606922783065,0.162606922783065,0.162606922783065,-0.169677419354839,-0.16,-0.0183443663691364,-0.0183443663691364,-0.0403822055137845,-0.0351190476190476,-0.0355057367149758,0.0856012378426172,0.0846488568902362,0.0806012378426171,-0.14,0.14,0.142918238993711,0.146918238993711,0.172968523236943,-0.0496280995006965,0.238272612343409,-0.00907943221148108,-0.00439193221148108,-0.0064327485380117,-0.0222222222222222,0.0571428571428571,0.0699134199134199,0.0660460165985028,0.0738095238095238,-0.0569815300715131,-0.0333333333333333,0,-0.0618791465494658,-0.0629602276305469,0.0694298371971725,0.0476190476190476,0.0363005728607232,0.0350660049594887,0.02,0.0296774193548387,0.0174822974036192,-0.162408902981085,0.15673624288425,0.017328227696094,-0.139917100443416,0.0571617747991441,-0.210396139550223,-0.198856360455169,-0.113800619347363,-0.275449735449735,-0.272217932217932
"SUFU",-0.109532439477117,-0.198407425027815,0.242281482218234,0.130292880528522,-0.0132283143731936,-0.176172067244221,-0.176172067244221,-0.176172067244221,-0.280555555555556,-0.275,-0.178496045763769,-0.1779525675029,-0.148055555555556,-0.159166666666667,-0.0548077568624672,0.0472727272727273,0.0512409812409812,0.0404545454545455,-0.283333333333333,0.275225225225225,0.279761714377099,0.275225225225225,0.277898951396968,-0.18989581445338,0.232959146117041,-0.158579983774615,-0.160593406593407,-0.168285714285714,-0.164285714285714,-0.0876923076923077,-0.0933349409211478,-0.0912072813466797,-0.0967832167832168,-0.082490880866994,-0.15,0.2,-0.089440287873574,-0.0901331285202253,0.208055112609786,0.146666666666667,0.151085858585859,0.149927557427557,0.166666666666667,0.172222222222222,0.180960086299892,0.177437890029031,0.29017094017094,0.178854102029754,-0.124880067213078,0.286825215263877,-0.161714943089905,-0.171188021600393,0.167865231613779,-0.242281482218234,-0.253594995800748
"TrCP",0.0663012114983892,0.024233297866729,0.231383360836114,0.245207068529683,0.142099190664408,0.0370702481534619,0.0370702481534619,0.0370702481534619,-0.0237037037037037,-0.02,-0.013039475118683,-0.0141505862297942,0.0427035330261137,0.0523809523809524,-0.0327062614245438,0.0335897435897436,0.0335897435897436,0.0320512820512821,-0.00952380952380952,0.011484593837535,0.0111120155961043,0.0160300483829896,0.150851529510866,-0.0185996080436264,0.0132838283828383,-0.0174220272904483,-0.0155701754385965,-0.0208333333333333,-0.0333333333333333,-0.08,-0.0754310980103169,-0.0794310980103169,-0.0669565217391304,-0.0344114707352206,-0.0333333333333333,0,-0.0341986687147977,-0.0348438300051203,0.0374241274001047,-0.019047619047619,-0.0488763725322865,-0.0508763725322865,0.02,0.0237037037037037,0.0101901901901902,-0.036161157244371,0.0105458089668616,0.0120739578773037,-0.117622477386586,0.0139604431132031,-0.15536430217316,-0.190669036304395,-0.0482186147186147,-0.231383360836114,-0.22775748113453
"LIV1",0.0663012114983892,0.024233297866729,0.231383360836114,0.245207068529683,0.142099190664408,0.0370702481534619,0.0370702481534619,0.0370702481534619,-0.0237037037037037,-0.02,-0.013039475118683,-0.0141505862297942,0.0427035330261137,0.0523809523809524,-0.0327062614245438,0.0335897435897436,0.0335897435897436,0.0320512820512821,-0.00952380952380952,0.011484593837535,0.0111120155961043,0.0160300483829896,0.150851529510866,-0.0185996080436264,0.0132838283828383,-0.0174220272904483,-0.0155701754385965,-0.0208333333333333,-0.0333333333333333,-0.08,-0.0754310980103169,-0.0794310980103169,-0.0669565217391304,-0.0344114707352206,-0.0333333333333333,0,-0.0341986687147977,-0.0348438300051203,0.0374241274001047,-0.019047619047619,-0.0488763725322865,-0.0508763725322865,0.02,0.0237037037037037,0.0101901901901902,-0.036161157244371,0.0105458089668616,0.0120739578773037,-0.117622477386586,0.0139604431132031,-0.15536430217316,-0.190669036304395,-0.0482186147186147,-0.231383360836114,-0.22775748113453
"Csl",0.0176184948751897,-0.0361376912566943,0.229691728721275,0.226488388458832,0.122088579456627,-0.00657956735917755,-0.00657956735917755,-0.00657956735917755,-0.0321678321678322,-0.0230769230769231,-0.0219138985333097,-0.0223719138004852,0.0350301659125189,0.0467948717948718,-0.0369959661121081,0.0359034683482901,0.0359034683482901,0.0332718894009217,-0.0195555555555556,0.0227813620071685,0.0258461972831047,0.0310616167842385,0.165944581888432,-0.0302652809233935,0.033345781304703,-0.0333333333333333,-0.0310077519379845,-0.0333333333333333,-0.0444444444444444,-0.0933333333333333,-0.0847619047619048,-0.0901966873706004,-0.0790476190476191,0.0639757798325573,-0.0333333333333333,0,-0.0363132351261848,-0.0368687906817403,0.0553527604802187,-0.00833333333333333,-0.0404065099985404,-0.0429927168950921,0.0230769230769231,0.0321678321678322,0.0178821178821179,0.00731486147682461,0.0181893375441763,0.021056265600205,-0.117315660777068,0.0222215956086924,-0.152272164228686,-0.189048893629883,-0.00657074318887976,-0.229691728721275,-0.226297446514838
"CDC42",0.0645711076921608,0.0218523454857766,0.229132556977593,0.239689827150372,0.143186147186147,0.0382897603485839,0.0382897603485839,0.0382897603485839,-0.02,0,-0.0141505862297942,-0.0101901901901902,0.0523809523809524,0.019047619047619,-0.0289326765188834,0.0320512820512821,0.0335897435897436,0.0166666666666667,-0.142857142857143,0.00952380952380952,0.0160300483829896,0.011484593837535,0.150309034031662,-0.0179861111111111,0.00833333333333333,-0.0155701754385965,-0.0208333333333333,-0.0333333333333333,-0.0333333333333333,-0.06,-0.0669565217391304,-0.0754310980103169,-0.08,-0.0358820589705147,0,0.1,-0.0348438300051203,-0.0396825396825397,0.0368226236407062,-0.0333333333333333,-0.0427035330261137,-0.0488763725322865,0,0.02,0.0237037037037037,-0.0370702481534619,0.0237037037037037,0.013039475118683,-0.11660724896019,0.0105458089668616,-0.156557619595594,-0.19011655011655,-0.0504004329004329,-0.229132556977593,-0.229396825396825
"NOTCHic",0.0163394251077479,-0.0373609328469084,0.226376811594203,0.219591836734694,0.123217247628185,-0.00608695652173913,-0.00608695652173913,-0.00608695652173913,-0.0230769230769231,0,-0.0223719138004852,-0.0178821178821179,0.0467948717948718,0.00833333333333333,-0.032625786163522,0.0332718894009217,0.0359034683482901,0.117142857142857,-0.0555555555555556,0.0195555555555556,0.0310616167842385,0.0227813620071685,0.164975156086791,-0.0292236142567268,0.0260287081339713,-0.0310077519379845,-0.0333333333333333,-0.0444444444444444,-0.0333333333333333,-0.06,-0.0790476190476191,-0.0847619047619048,-0.0933333333333333,0.0633221850613155,0,0.1,-0.0368687906817403,-0.0419047619047619,0.0543168067934423,-0.0333333333333333,-0.0350301659125189,-0.0404065099985404,0,0.0230769230769231,0.0321678321678322,0.00657956735917755,0.0321678321678322,0.0219138985333097,-0.115790606310838,0.0181893375441763,-0.153062678062678,-0.187666405150621,-0.00848532345397549,-0.226376811594203,-0.227726017943409
"NOTCH",0.0143486134691568,-0.0367524135771315,0.224154589371981,0.219591836734694,0.112525423728814,-0.0133333333333333,-0.0133333333333333,-0.0133333333333333,0,-0.1,-0.0178821178821179,-0.0321678321678322,0.00833333333333333,0.0333333333333333,-0.0367924528301887,0.117142857142857,0.0332718894009217,0.16,0,0.0555555555555556,0.0227813620071685,0.0195555555555556,0.165977160094807,-0.0325348725348725,0.0442105263157895,-0.0333333333333333,-0.0444444444444444,-0.0333333333333333,0,0,-0.0933333333333333,-0.0790476190476191,-0.06,0.0710144927536232,0,0,-0.0419047619047619,-0.0285714285714286,0.053983473460109,0,-0.0467948717948718,-0.0350301659125189,0.1,0,0.0230769230769231,0.00608695652173913,0.0230769230769231,0.0223719138004852,-0.112900432900433,0.0321678321678322,-0.149358974358974,-0.177807250221043,-0.00352664576802508,-0.224154589371981,-0.224154589371981
"DELTA",0.0111228070175439,-0.0446058167184928,0.224154589371981,0.225714285714286,0.121,-0.0133333333333333,-0.0133333333333333,-0.0133333333333333,-0.1,0,-0.0321678321678322,-0.0230769230769231,0.0333333333333333,0,-0.05,0.16,0.117142857142857,0.1,0,0,0.0195555555555556,0.0555555555555556,0.170739064856712,-0.0288311688311688,0.06,-0.0444444444444444,-0.0333333333333333,0,0,-0.1,-0.06,-0.0933333333333333,0,0.0666666666666667,0,0,-0.0285714285714286,-0.0333333333333333,0.0586563706563707,0,-0.00833333333333333,-0.0467948717948718,0,0.1,0,0.0133333333333333,0,0.0178821178821179,-0.115757575757576,0.0230769230769231,-0.141666666666667,-0.174358974358974,-0.0103448275862069,-0.224154589371981,-0.211111111111111
"STAT",0.192189701661771,0.214888451189,0.22270037654653,0.253927743694615,0.207534111732013,0.126302729528536,0.126302729528536,0.126302729528536,0.0714285714285714,0.0714285714285714,0.0718714863825274,0.0734487734487735,0.0583333333333333,0.025,0.0597578891696539,0.0120296767355591,0.0130005505219669,0.00392156862745098,0.00454545454545455,-0.0295454545454545,-0.0321261817257241,-0.0374401913875598,0.0144109019791542,0.0136122275422593,-0.111288998357964,0.0193704600484262,0.0142857142857143,0,0,-0.0333333333333333,-0.0474509803921569,-0.0485262492093612,-0.0533333333333333,-0.0306666666666667,0,0.1,-0.0289188738963851,-0.0323671497584541,-0.092561110172124,-0.05,-0.0513565891472868,-0.054011456403924,-0.0714285714285714,-0.0714285714285714,-0.0623376623376623,-0.12555646087182,-0.0623376623376623,-0.0724674339391424,-0.112649278432411,-0.0732620320855615,-0.134623993518003,-0.166999678249678,-0.120422785936805,-0.22270037654653,-0.323143196672608
