"","TCFLEF","cMet","GLI","Wnt","SRC","ZEB1","Destcompl","NOTCH","Jagged","FOXC2","TGFR","RAS","RAF","PI3K","DELTA","EGR1","SMO","cfos","FUS","SHH","Patched","GSK3","AKT","ERK","SUFU","HEY1","ILK","Csn","TWIST1","TrCP","NFB","ZEB2","IKK","SMAD","MEK","SNAI1","miR200","RKIP","SNAI2","TGF","Csl","NOTCHic","CDC42","KLF4","SOSGRB2","PAK1","AXIN2","LIV1","Ecadherin","DSH","Frizzled","STAT","CD44","cateninmemb","cateninnuc"
"HEY1",0.492114648768429,0.44984040127679,0.475702470242307,0.44984040127679,0.419607843137255,-0.175660474716202,0.179385264849372,0.451428007694964,0.490191268002362,-0.36469550312563,-0.369818181818182,0.367055052790347,0.356025641025641,0.356025641025641,0.356025641025641,-0.2,0.283333333333333,-0.227272727272727,0.3,0.29260752688172,0.295833333333333,0.155125221404157,0.351534391534392,-0.268449197860963,0.2,0.179358288770053,0.165333333333333,-0.2,0.440758169934641,-0.1,-0.26,-0.13500515995872,-0.321904761904762,-0.16968115942029,0.281851259716633,0.190138080620495,0.062002442002442,0.214770150484436,-0.239843692112052,0.384940133037694,-0.363636363636364,-0.421531100478469,0.341818181818182,-0.148148148148148,-0.0610062893081761,0.281818181818182,-0.217607816989916,-0.3,-0.435820396249343,-0.366666666666667,-0.419607843137255,-0.366666666666667,-0.475057792581138,-0.559440543647861,-0.506186877909151
"CD44",-0.172325581395349,-0.25,-0.17,-0.15,-0.2,-0.1,0.0493670195350868,0.219548872180451,0.124662004662005,-0.121666666666667,-0.140833333333333,0.0857142857142857,0.1,0.1,0.1,0.1,-0.15,0.075,-0.1,-0.208181818181818,-0.19,0.0898809523809524,0.253333333333333,0.115,-0.1,0.182456140350877,0.194444444444444,-0.1,0.0512087912087912,0,-0.2,-0.0936507936507937,-0.233333333333333,-0.188321995464853,-0.115,0.0868155236576289,0.0426130873956961,-0.0311111111111111,0.0432500832500832,0.113055555555556,-0.2,-0.214285714285714,0.153333333333333,0.00158730158730159,0.3,0.133333333333333,0.13,0.1,0.180679079361633,0,0.1,0.1,0.17,0.216208791208791,0.180017889087657
"TGFR",-0.116371761307213,-0.109433962264151,-0.0983740544300496,-0.0951482479784367,-0.1,-0.0218541705645026,-0.0334392144615838,-0.217730918713305,-0.122977097607308,0.0158517996148526,0.0227777777777778,-0.150574352548037,-0.149404761904762,-0.149404761904762,-0.149404761904762,-0.019047619047619,0.0872413793103448,-0.0453634085213033,0.07,0.0804264075589324,0.0809913793103448,0.0795740953268023,-0.20280497756018,-0.0298078529657477,0.0866666666666667,-0.122604578654118,-0.0989833822091887,0.191666666666667,-0.013202846975089,0.166666666666667,0.191666666666667,-0.0739066586594759,0.207456140350877,0.0957805352340997,0.032547578993145,0.00163829332373178,0.0473214756446125,0.103333333333333,-0.0238002847382615,-0.027033096926714,0.206666666666667,0.217011494252874,-0.126349206349206,-0.0783412335185791,-0.128703703703704,-0.131111111111111,0.0862757453959171,0.1,0.0660012551297869,0.0857142857142857,0.0857142857142857,0.1,0.112065541211519,0.113585929815928,0.117877518614565
"SMAD",-0.133741914314346,-0.129150326797386,-0.116147082334133,-0.111111111111111,-0.131111111111111,-0.0640028613935437,-0.0392461075261661,-0.0398741105637657,-0.052655076106689,-0.116425471733591,-0.107559697102541,0.0239834597908029,0.0249703018960661,0.0249703018960661,0.0249703018960661,0,-0.0458333333333333,0.0290322580645161,-0.0458333333333333,-0.0382960733490217,-0.0394113149847095,0.033354779445005,0.00245191409897293,0.0243810952738185,-0.0583333333333333,-0.0295744895794397,-0.00355334163553342,-0.0388888888888889,0.0317678476867087,-0.05,-0.0150793650793651,-0.0704752651278628,-0.0131185807656396,-0.0964466583644666,-0.0272657106584338,0.0424811286383867,-0.0015835748477645,0.0660274188991734,-0.012151490486552,0.107161290728039,0.0285714285714286,0.0343185550082102,0.114822266934943,-0.0659673669102137,0.117790594498669,0.119047619047619,0.096742159720665,0.12,0.0567209057165237,0.1,0.111111111111111,0.12,0.133877599524658,0.128028390817303,0.135970891011408
"AXIN2",0.0656865836750711,0.0520475808607324,0.0784626752003551,0.0520475808607324,0.0848062015503876,-0.0728171407981545,0.0430827980796609,0.0800093138251033,0.080615624093885,-0.117663491855529,-0.130052714956845,0.0988059190978571,0.107204869229091,0.107204869229091,0.107204869229091,-0.1,0.0168498168498168,-0.0585365853658537,0.0692307692307692,0.0316566084189035,0.061492673992674,0.0517481761818146,0.0988888888888889,-0.0949851834966948,0,0.0955051545315237,0.0896940418679549,-0.122222222222222,0.0679776262602497,-0.0666666666666667,-0.0917874396135266,-0.0703443227802943,-0.122222222222222,-0.0662813434552565,0.0680886317725568,0.0292293570409038,0.0600781958307064,0.0753800858639568,-0.0468479847478441,0.128072516937043,-0.0659649122807018,-0.10703634085213,0.123858024691358,-0.0290419200230757,-0.00134585688582884,0.1325,-0.107074796698164,-0.1,-0.0454253185525899,-0.0266666666666667,-0.0848062015503876,-0.0266666666666667,-0.078230546160417,-0.0538738726370382,-0.0761059524601987
"GSK3",0.0732811330751203,0.0621197032315889,0.0721419252904737,0.0608211705734926,0.062781954887218,-0.114737732799746,0.037779486026919,0.193615698027463,0.103699875828996,-0.250203317694138,-0.266592940463566,0.203797558657265,0.204217726724492,0.204217726724492,0.204217726724492,-0.150980392156863,-0.0940930037704231,-0.121350762527233,-0.0844155844155844,-0.0748896691650866,-0.0677126356722636,-0.0316095669340634,0.197064913056292,-0.144659033203925,-0.127272727272727,0.116622693505407,0.0979146845544224,-0.2325,0.126432334287135,-0.22,-0.20125,-0.0527435452750157,-0.211594827586207,-0.0911680578677657,0.135568124113016,0.0967193894746979,0.0173510727936732,0.188311863575021,-0.051064161610435,0.271977555848181,-0.185224089635854,-0.202706607118372,0.261366459627329,-0.0353805199542205,0.0455807078155348,0.26231884057971,-0.0605587084934293,-0.05,-0.00681230369517568,-0.0342105263157895,-0.062781954887218,-0.0342105263157895,-0.0735482746601603,-0.0496999852966855,-0.0776890278119624
"GLI",-0.0482819100376549,-0.0541148701809599,-0.0358609552262909,0.062011385199241,-0.0638709677419355,-0.0521146953405018,-0.0621573572312013,0.121403309334344,0.0994753875404541,-0.0838851264189887,-0.180711342441987,0.131359719035335,0.129577540817513,0.129577540817513,0.129577540817513,0.114285714285714,-0.00485588972431077,0.130952380952381,-0.0101190476190476,0.00450834979865891,0.0073890082348729,0.000325796618755042,0.125703954827545,0.116666666666667,-0.0476190476190476,0.0968252130815798,0.0850259633936188,-0.161111111111111,0.0310748202938356,-0.15,-0.124269005847953,-0.0525364396654719,-0.130391454827545,-0.0871881255557809,-0.116114180478821,0.0250386252960035,0.00127842230009413,0.0390983891976941,-0.0346583929610508,0.186123107147869,-0.110450928381963,-0.120450928381963,0.173793103448276,-0.0435109395109395,0.267363521434318,0.16,0.0609571256038648,0.1,-0.0141973972041468,-0.04,-0.0561290322580645,0.08,0.0515286632844082,0.0338241490847446,0.0469071341858916
"SNAI1",-0.0491397495139387,-0.0533951773555734,-0.0534256666919599,-0.0568991584652689,-0.0553753753753754,-0.0415025131848492,-0.072592093563785,0.0916169544740973,0.0971406707365973,-0.041884885310704,-0.0404085628290064,-0.00472681859314225,-0.00735407639281384,-0.00735407639281384,-0.00735407639281384,0.0617391304347826,-0.0845764351140695,0.0498747236551216,-0.0981566820276498,-0.0851007069587297,-0.0825764351140695,-0.102900743645793,0.0891812865497076,0.0445413903217883,-0.114285714285714,0.0717050088401177,0.0626199010069978,-0.0958333333333333,0.0113581490972795,-0.133333333333333,-0.0905701754385965,-0.0459643679682172,-0.0850146198830409,-0.0659409342173299,-0.0427476683486941,-0.123129928389152,0.00374801006225243,0.0255561608614153,-0.0376800265604193,0.0438359821838451,-0.0861538461538462,-0.0883516483516484,0.0316653934300993,-0.0433188489327604,0.0681780725242336,0.0240896358543417,0.060135535685308,0.08,-0.00758085507836426,0.0688888888888889,0.0583625730994152,0.0688888888888889,0.0496914736518697,0.0365138928981935,0.0478490938608669
"PAK1",-0.0496914736518697,-0.0553753753753754,-0.0568991584652689,-0.0583625730994152,-0.0688888888888889,-0.0389194873545909,-0.0722083216339604,0.0883516483516484,0.0929053766189502,-0.0379458764161678,-0.0316653934300993,-0.00735407639281384,-0.010535894574632,-0.010535894574632,-0.010535894574632,0.04,-0.0981566820276498,0.0617391304347826,-0.114285714285714,-0.0825764351140695,-0.0845764351140695,-0.104814935064935,0.0850146198830409,0.0498747236551216,-0.147619047619048,0.0681335802686892,0.0574586106844171,-0.133333333333333,0.00715302089215133,-0.133333333333333,-0.0958333333333333,-0.0448573568981065,-0.0905701754385965,-0.0626199010069978,-0.0445413903217883,-0.0224181846169097,0.00461256337637347,0.0209536504011642,-0.0374453634695712,0.0404085628290064,-0.0846153846153846,-0.0861538461538462,0.0240896358543417,-0.0380228987769971,0.0708195819581958,0.0142857142857143,0.0629327384825108,0.1,-0.00643621407940485,0.08,0.0688888888888889,0.08,0.0533951773555734,0.0368938583558792,0.0491397495139387
"LIV1",-0.0496914736518697,-0.0553753753753754,-0.0568991584652689,-0.0583625730994152,-0.0688888888888889,-0.0389194873545909,-0.0722083216339604,0.0883516483516484,0.0929053766189502,-0.0379458764161678,-0.0316653934300993,-0.00735407639281384,-0.010535894574632,-0.010535894574632,-0.010535894574632,0.04,-0.0981566820276498,0.0617391304347826,-0.114285714285714,-0.0825764351140695,-0.0845764351140695,-0.104814935064935,0.0850146198830409,0.0498747236551216,-0.147619047619048,0.0681335802686892,0.0574586106844171,-0.133333333333333,0.00715302089215133,-0.133333333333333,-0.0958333333333333,-0.0448573568981065,-0.0905701754385965,-0.0626199010069978,-0.0445413903217883,-0.0224181846169097,0.00461256337637347,0.0209536504011642,-0.0374453634695712,0.0404085628290064,-0.0846153846153846,-0.0861538461538462,0.0240896358543417,-0.0380228987769971,0.0708195819581958,0.0142857142857143,0.0629327384825108,0.1,-0.00643621407940485,0.08,0.0688888888888889,0.08,0.0533951773555734,0.0368938583558792,0.0491397495139387
