"","ZEB2","Destcompl","AXIN2","RKIP","PAK1","MEK","Frizzled","SNAI1","SMAD","Wnt","ILK","CD44","SHH","HEY1","cateninmemb","AKT","ZEB1","Jagged","RAS","RAF","PI3K","DELTA","Ecadherin","NOTCH","KLF4","miR200","TrCP","GSK3","NOTCHic","SUFU","Csl","Csn","Patched","IKK","SMO","TCFLEF","STAT","LIV1","EGR1","cateninnuc","cMet","SRC","FOXC2","GLI","DSH","SOSGRB2","CDC42","ERK","cfos","FUS","TGF","NFB","TGFR","TWIST1","SNAI2"
"ZEB2",-0.105117487695638,-0.0856744638445696,-0.0727794808075359,-0.0711433172302738,-0.0675324675324675,-0.0657894736842105,-0.0657575757575758,-0.0642905297897237,-0.05983769408194,-0.0580652680652681,-0.0537401331063303,-0.0523294346978558,-0.0456620209059233,-0.0439848860816603,-0.0411122512459954,-0.0379776739356179,-0.0355296360954336,-0.018092011831537,-0.0174435699917499,-0.0172294372294372,-0.0172294372294372,-0.0172294372294372,-0.0104934206613962,-0.00813955443463641,-0.00759758521911998,-0.00380146439673565,0,0.0107166370719074,0.0108717948717949,0.025,0.0282051282051282,0.0333333333333333,0.0356620209059233,0.0463888888888889,0.0478571428571429,0.0495125332894051,0.05,0.05,0.05,0.0501618839387557,0.0514035087719298,0.0566666666666667,0.0573690753690754,0.0589826992579286,0.0590909090909091,0.060989010989011,0.0657142857142857,0.0657894736842105,0.0657894736842105,0.0678571428571429,0.070551776266062,0.0708333333333333,0.0731972789115646,0.0773347036656389,0.101849510658418
"TCFLEF",-0.0860031897926635,0.315735245160111,-0.269843223443223,-0.0178807916609267,0.0256410256410256,-0.207921022067364,0.0777450980392157,-0.00619751006780295,0.106948476701923,0.08201860231272,0.110963773069036,0.0807514916948879,0.124792626728111,0.0527623941383576,0.00669321858080273,0.0881353891550245,0.226577352472089,0.073650544533209,-0.0117321272066975,-0.00870978817910225,-0.00870978817910225,-0.00870978817910225,0.0689385480510839,0.144259397841194,0.00906544435956201,0.158030911524887,0.114285714285714,-0.219061286860426,-0.149242786545513,-0.15,-0.170811413996493,-0.123376623376623,-0.124792626728111,-0.0935701717637201,-0.132857142857143,-0.179949658934292,-0.0583333333333333,-0.0333333333333333,0.222857142857143,-0.180551033504739,-0.0776068376068376,-0.0733333333333333,-0.0274380077088579,-0.0857453103872541,-0.0627450980392157,0.212894211576846,-0.0419200954084675,0.212682926829268,0.215540069686411,-0.156666666666667,-0.0523180653286259,-0.119376623376623,-0.0503313103617385,-0.0773539193519043,0.0619430317044269
"NOTCH",-0.077133655394525,-0.0360538375491646,-0.0399460916442049,0.273651635720601,0,0.107619047619048,-0.02,0.258589743589744,0.181904761904762,-0.0430769230769231,0.161904761904762,-0.0400466200466201,0.163574660633484,0.0623188405797101,-0.0448787824519703,0.144444444444444,0.385990338164251,0.116036556036556,0.0445586297760211,0.0315151515151515,0.0315151515151515,0.0315151515151515,-0.125155631013016,0.106082949308756,-0.0623188405797102,0.274891774891775,0,0.013357715081853,-0.202857142857143,0,-0.16,0,-0.157692307692308,-0.155555555555556,-0.15,0.0499367299367299,0,0,0,0.053610199324485,0.0430769230769231,0.02,0.0548979591836735,0.0400466200466201,0,0.0252631578947368,0.0333333333333333,-0.0933333333333333,-0.06,-0.1,0.0517849462365591,-0.1,0.0453333333333333,-0.134084745762712,-0.134106634106634
"CDC42",-0.0765248472270264,-0.141180718046846,-0.17320197044335,0.314172494172494,-0.171428571428571,0.0966543846720708,-0.14,0.297420132610006,0.210411332991978,-0.136296296296296,0.187830687830688,-0.147107107107107,0.19715537349946,0.179560219890055,-0.125267850108022,0.173026315789474,0.423060071486222,0.175243055555556,0.127763164886551,0.119226579520697,0.119226579520697,0.119226579520697,-0.225248030616511,0.162307692307692,-0.0723809523809524,0.299261522790935,0,0.0521969696969697,-0.157692307692308,-0.1,-0.15,-0.1,-0.18110599078341,-0.1625,-0.171428571428571,0.152057602156612,0.1,0.1,-0.06,0.152427972526982,0.136296296296296,0.14,0.0904461296713807,0.14682261208577,0.1,0.0791666666666667,0.0857142857142857,-0.101739130434783,-0.08,-0.171428571428571,0.0976572447160683,-0.175,0.0915966386554622,-0.128069264069264,-0.0871937308433659
"Frizzled",-0.075224796511215,0.234841147549831,0.174249471458774,0.010952380952381,0.133333333333333,0.0191285403050109,0.125,-0.00667701863354037,0.0939990748945324,0.119736842105263,0.0893261776982707,0.12687969924812,0.0405599776567518,0.0820294599018003,-0.151246973365617,0.0929166666666667,0.207302868019944,0.01316770647653,-0.106836615518754,-0.106049213943951,-0.106049213943951,-0.106049213943951,-0.17129070116875,0.0628151260504202,-0.0610644257703081,0.15125946969697,0.1,-0.0991640543364681,-0.0726190476190476,0,-0.0642857142857143,-0.0666666666666667,-0.0534632034632035,-0.111666666666667,-0.0772727272727273,-0.126217447592491,-0.1,-0.1,0.0333333333333333,-0.124312685687729,-0.119736842105263,-0.125,-0.11087656529517,-0.12687969924812,-0.2,-0.0454545454545454,-0.113333333333333,-0.00431372549019608,0.0133333333333333,-0.05,-0.12815734989648,-0.0866666666666667,-0.11768115942029,-0.114649859943978,-0.193352550853911
"GSK3",-0.0746596925578273,0.233006357318887,0.175902555095558,0.0116113710850553,0.11768115942029,0.0174410830254484,0.12687969924812,-0.00392483990562858,0.101318811252768,0.126226104476878,0.101168886215287,0.124312685687729,0.0459581635844825,0.0914205847728013,-0.151541593655364,0.0819823902151488,0.202904885078362,0.0194348937112949,-0.105506083305869,-0.104875831205028,-0.104875831205028,-0.104875831205028,-0.171235774269226,0.053624316859611,-0.0813860740323699,0.143497052975499,0.0866666666666667,-0.201751389443077,-0.0523256155609097,-0.0772727272727273,-0.0628151260504202,-0.111666666666667,-0.0411734745892672,-0.0802729885057471,-0.0405599776567518,-0.124223638492716,-0.119736842105263,-0.125,-0.00431372549019608,-0.123697322703242,-0.126217447592491,-0.12687969924812,-0.109874059029506,-0.124811010137256,-0.119736842105263,-0.0610302686536379,-0.12815734989648,-0.0168729012072665,-0.0191285403050109,-0.0534632034632035,-0.128617458893175,-0.0929166666666667,-0.129899510175226,-0.112394159396398,-0.194193466861749
"PI3K",-0.0743816641511271,0.247128580841517,0.156857142857143,0.0410956690368455,0.1,0.0210818753731001,0.111111111111111,0.0446175523349436,0.106630492196879,0.106763285024155,0.0962304921968788,0.111378669639539,0.0485042735042735,0.0895570578145495,-0.169711615402682,0.199698340874811,0.252620543031956,0.0216666666666667,-0.03848971120204,-0.0412294372294372,-0.0412294372294372,-0.0412294372294372,-0.211298555713189,0.073014888337469,-0.0633771929824561,0.184366482727138,0.2,-0.00876623376623376,-0.0826923076923077,0,-0.075,-0.166666666666667,-0.0512820512820513,-0.217647058823529,-0.0666666666666667,-0.110813697888127,-0.1,-0.1,0.0333333333333333,-0.108545656651013,-0.106763285024155,-0.111111111111111,-0.091486643437863,-0.111378669639539,-0.1,-0.0523076923076923,-0.0941176470588235,-0.0128851540616247,0.00476190476190476,-0.05,-0.105434720229555,-0.2,-0.0981176470588235,-0.135937729808008,-0.202061368807356
"ILK",-0.0743816641511271,0.247128580841517,0.156857142857143,0.0410956690368455,0.1,0.0210818753731001,0.111111111111111,0.0446175523349436,0.106630492196879,0.106763285024155,0.0962304921968788,0.111378669639539,0.0485042735042735,0.0895570578145495,-0.169711615402682,0.199698340874811,0.252620543031956,0.0216666666666667,-0.03848971120204,-0.0412294372294372,-0.0412294372294372,-0.0412294372294372,-0.211298555713189,0.073014888337469,-0.0633771929824561,0.184366482727138,0.2,-0.00876623376623376,-0.0826923076923077,0,-0.075,-0.166666666666667,-0.0512820512820513,-0.217647058823529,-0.0666666666666667,-0.110813697888127,-0.1,-0.1,0.0333333333333333,-0.108545656651013,-0.106763285024155,-0.111111111111111,-0.091486643437863,-0.111378669639539,-0.1,-0.0523076923076923,-0.0941176470588235,-0.0128851540616247,0.00476190476190476,-0.05,-0.105434720229555,-0.2,-0.0981176470588235,-0.135937729808008,-0.202061368807356
"TrCP",-0.0742740433685055,-0.140879966167147,-0.18012020943706,0.327984648868627,-0.0857142857142857,0.0953210513387374,-0.136296296296296,0.307682662442942,0.221379074927462,-0.14682261208577,0.210411332991978,-0.152057602156612,0.21515537349946,0.19573669047829,-0.127099351939524,0.193396686159844,0.433671003962106,0.186899497273347,0.128672255795642,0.127763164886551,0.127763164886551,0.127763164886551,-0.227393359336234,0.178791208791209,-0.0740202966432475,0.309921421268092,0.1,0.0521969696969697,-0.162307692307692,-0.171428571428571,-0.157692307692308,-0.175,-0.19715537349946,-0.173026315789474,-0.18110599078341,0.152427972526982,0.14,0.1,-0.08,0.154083144940776,0.147107107107107,0.136296296296296,0.0952737158782773,0.150237246232111,0.14,0.0761963696369637,0.0915966386554622,-0.0966543846720708,-0.101739130434783,-0.171428571428571,0.103668173677817,-0.1625,0.0976572447160683,-0.132417090156221,-0.0870128990169644
"LIV1",-0.0742740433685055,-0.140879966167147,-0.18012020943706,0.327984648868627,-0.0857142857142857,0.0953210513387374,-0.136296296296296,0.307682662442942,0.221379074927462,-0.14682261208577,0.210411332991978,-0.152057602156612,0.21515537349946,0.19573669047829,-0.127099351939524,0.193396686159844,0.433671003962106,0.186899497273347,0.128672255795642,0.127763164886551,0.127763164886551,0.127763164886551,-0.227393359336234,0.178791208791209,-0.0740202966432475,0.309921421268092,0.1,0.0521969696969697,-0.162307692307692,-0.171428571428571,-0.157692307692308,-0.175,-0.19715537349946,-0.173026315789474,-0.18110599078341,0.152427972526982,0.14,0.1,-0.08,0.154083144940776,0.147107107107107,0.136296296296296,0.0952737158782773,0.150237246232111,0.14,0.0761963696369637,0.0915966386554622,-0.0966543846720708,-0.101739130434783,-0.171428571428571,0.103668173677817,-0.1625,0.0976572447160683,-0.132417090156221,-0.0870128990169644
