"","ZEB2","ZEB1","Csn","TrCP","FUS","miR200","NFB","IKK","SOSGRB2","DSH","AKT","Destcompl","GLI","RKIP","CD44","SHH","Patched","SNAI2","NOTCHic","Csl","PI3K","SRC","SMAD","NOTCH","KLF4","Jagged","TGF","FOXC2","ILK","MEK","EGR1","TGFR","ERK","TWIST1","CDC42","cfos","HEY1","Ecadherin","PAK1","RAF","DELTA","cMet","RAS","Frizzled","Wnt","STAT","cateninnuc","cateninmemb","TCFLEF","AXIN2","SNAI1","SMO","LIV1","SUFU","GSK3"
"SHH",-0.2,-0.2,0,0,0.2,-0.1,0,-0.1,0,0,-0.15,0.14987012987013,-0.05,0.08,0.05,-0.0933333333333333,0.0666666666666667,-0.0207662835249042,-0.2,-0.1,0.2,0.1,-0.15,-0.233333333333333,-0.2,-0.134285714285714,-0.1,-0.2,-0.133333333333333,-0.12,0,-0.1,-0.1,-0.075,-0.1,-0.1,0.133333333333333,-0.0447222222222222,0,-0.2,-0.2,-0.1,-0.192307692307692,0,0,-0.1,-0.0866666666666667,-0.107240143369176,-0.07,0.00952380952380952,-0.0666666666666667,-0.1,0,-0.2,-0.192307692307692
"TCFLEF",-0.198618642566011,-0.198618642566011,0.0948051948051948,0.0857142857142857,0.06,-0.109504598480502,0.0988051948051948,0.0859019689987432,-0.0818565945033011,-0.182352941176471,0.0913367516074389,0.0759304507588472,-0.168458743586621,0.151570923451348,-0.161191743267215,0.0666744885169584,0.0617665130568356,-0.0178596845995694,0.192029332058026,0.209676390881556,-0.114427221703395,-0.15,-0.0826149567673166,0.197012720762345,-0.19534632034632,0.0770999766893165,-0.158572377655761,-0.160946472815487,-0.0812765246449457,0.0958005641280903,0.0871428571428571,-0.155261119377616,0.0964808362369338,0.0324997250225342,-0.145915324985092,0.0993379790940767,0.0229196561677293,-0.00563035759530249,-0.143589743589744,0.114427221703395,0.114427221703395,0.154273504273504,0.119289245356483,0.157352941176471,0.161626445449975,0.175,0.0635686046646949,0.07169762297892,0.0652009070701932,0.0581128205128205,-0.15661121073255,-0.0504761904761905,0.2,-0.0666666666666667,-0.0587406016190736
"Patched",-0.183333333333333,-0.183333333333333,0,0,0.1,-0.0857142857142857,-0.1,-0.15,0,0,-0.192857142857143,0.15976023976024,-0.0375,0.0514285714285714,0.07,-0.0933333333333333,-0.0933333333333333,-0.0140996168582376,-0.233333333333333,-0.2,0.192307692307692,0.1,-0.15,-0.242424242424242,-0.188888888888889,-0.152804232804233,-0.0666666666666667,-0.17,-0.15,-0.143076923076923,-0.1,-0.1,-0.12,-0.0712962962962963,-0.1,-0.1,0.156410256410256,-0.0340426105717368,-0.1,-0.192307692307692,-0.192307692307692,-0.05,-0.211057692307692,0,0.05,-0.1,-0.0954045307443366,-0.118351254480287,-0.0866666666666667,-0.0177489177489177,-0.0698924731182796,-0.0666666666666667,-0.1,-0.2,-0.192307692307692
"Destcompl",-0.181082551429452,-0.181082551429452,-0.114285714285714,-0.1,-0.00613026819923371,-0.115771719274534,-0.127329192546584,-0.13363549885289,-0.11332596024241,-0.123015873015873,-0.130950935094501,0.0293743746764851,-0.136327542455112,0.140457337084844,-0.136077278318129,0.0140156227304738,0.0115011159606479,-0.0794974974896256,-0.0165785350567959,-0.0133176654915785,0.0678066931421245,-0.124385736029572,-0.166512113617377,-0.0111677134135094,-0.18438330277599,0.105663442364986,-0.080900033334568,-0.112276256776599,-0.160079365079365,-0.122845467460533,-0.11025641025641,-0.0806044668321049,-0.117360235393022,-0.00931697102041478,-0.0753413089373681,-0.11025641025641,0.162774490466798,-0.108716701561406,-0.0677551020408163,-0.0678066931421245,-0.0678066931421245,0.13383847234798,-0.0635680746177917,0.124385736029572,0.134286726128582,0.123015873015873,0.132068700083652,0.118540724903855,0.134159470098951,0.0708418327563111,-0.150052430867139,0.000415982484947999,0.144444444444444,-0.0111111111111111,-0.143035060338984
"FUS",-0.178862084503137,-0.178862084503137,-0.15,-0.1,-0.0933333333333333,-0.0869801084990958,-0.192857142857143,-0.196857142857143,-0.00040485829959514,-0.05,-0.208395604395604,0.162513592331959,-0.0112179487179487,0.0483357879234168,0.0954045307443366,-0.0958585858585859,-0.0988888888888889,-0.0166831852945888,-0.252424242424242,-0.242424242424242,0.218034436493739,0.07,-0.124746543778802,-0.266060606060606,-0.167304189435337,-0.163518518518519,-0.0757523480927736,-0.173947368421053,-0.135714285714286,-0.138270235511615,-0.12,-0.0693693693693694,-0.127925407925408,-0.0837847471740296,-0.0666666666666667,-0.143076923076923,0.151027233635929,-0.030447604758665,-0.1,-0.218034436493739,-0.218034436493739,-0.0866666666666667,-0.22807810461601,0.0375,0.0208333333333333,-0.05,-0.0876323829836304,-0.113469766168739,-0.0908932525488478,-0.023338979860719,-0.0783830391560154,0.0933333333333333,-0.1,-0.0666666666666667,-0.21061467026009
"cMet",-0.154401154401154,-0.154401154401154,0,0.1,0.05,-0.109481774264383,-0.0333333333333333,-0.08,-0.341904761904762,0.1,-0.105,-0.0445571348932693,0.215454545454545,-0.0581481481481482,0.217674418604651,-0.0538636363636364,-0.0663636363636364,-0.00483072483072483,-0.100751879699248,-0.0428571428571429,0.171428571428571,0.1,-0.00391465677179963,-0.124156135018397,-0.263492063492063,-0.0527840275666363,-0.194261229314421,-0.168670886075949,-0.0275510204081633,-0.240909090909091,-0.25,-0.196388888888889,-0.25,-0.190035806889739,-0.2075,-0.25,0.00925352597179222,-0.190070976647846,-0.22,-0.171428571428571,-0.171428571428571,-0.22,-0.188409703504043,-0.2,-0.22,0,-0.208852167409519,-0.231509196615958,-0.209982110912343,-0.158412698412698,-0.107998810585787,0.03,0.1,-0.1,-0.133160522273426
"PI3K",-0.15207515782982,-0.15207515782982,-0.233333333333333,-0.2,-0.2,-0.0666992253057827,-0.3,-0.305882352941176,-0.0269230769230769,0.2,-0.313574660633484,-0.141383703052932,0.193452248234857,-0.0235132514544279,0.193452248234857,-0.156837606837607,-0.167948717948718,0.0392785510900126,-0.232692307692308,-0.225,0.137125541125541,0.211111111111111,-0.132384153661465,-0.232692307692308,-0.138377192982456,-0.15719298245614,-0.0275734098517456,-0.00612078977932637,-0.120384153661465,-0.0971391835422694,-0.0666666666666667,-0.0218823529411765,-0.0725490196078431,-0.0162180814354727,-0.00588235294117647,-0.0666666666666667,0.1376551306629,-0.083267483777938,0,-0.137125541125541,-0.137125541125541,-0.198067632850242,-0.131646089070747,-0.211111111111111,-0.198067632850242,-0.2,-0.20132457626794,-0.123279076437688,-0.197407050494744,-0.124761904761905,-0.00570450885668277,0.183333333333333,-0.1,0.1,-0.100949975949976
"ZEB2",-0.142750596567372,-0.142750596567372,-0.111111111111111,-0.1,-0.0964285714285714,-0.0955686487410493,-0.0861111111111111,-0.0794444444444445,-0.0745238095238095,-0.0727272727272727,-0.0710332294911734,-0.070275630466874,-0.0688646521674045,-0.0617874396135266,-0.0599317738791423,-0.0545502058916693,-0.0536411149825784,-0.051137438294803,-0.045025641025641,-0.041025641025641,-0.0407142857142857,-0.04,-0.0387429077277926,-0.0368289197141656,-0.0324013538356648,-0.0235958573161785,-0.0234151034151034,-0.0196348096348096,-0.0186209565082804,-0.0174555192071445,-0.0166666666666667,-0.0165367965367965,-0.00647990945104698,-0.0013489874273786,0.00727272727272727,0.00964912280701754,0.0165091360252651,0.0198517777806348,0.0272727272727273,0.0407142857142857,0.0407142857142857,0.0478947368421053,0.0512067910676048,0.0527272727272727,0.0578554778554779,0.06,0.0600762772630823,0.0601637149850271,0.0634529006397057,0.0658158602480156,0.0695574679378322,0.0707142857142857,0.1,0.125,0.137798474369505
"LIV1",-0.136836196501963,-0.136836196501963,-0.225,-0.2,-0.197619047619048,-0.0705738225147004,-0.2375,-0.221710526315789,-0.133292079207921,0.17,-0.219858674463938,0.145975970354656,0.153137926116103,-0.0284639853700627,0.148800582760979,-0.162493201342664,-0.153493201342664,-0.00831828801338179,-0.234871794871795,-0.248717948717949,0.210124076730963,0.158888888888889,-0.117784604881379,-0.230476190476191,-0.125354670830081,-0.173264527948194,-0.112740923493093,-0.0901828856016755,-0.0984297661717017,-0.211660034389585,-0.16,-0.110555131143366,-0.196993367722918,-0.0828697534349708,-0.0969187675070028,-0.181739130434783,0.121291560102302,-0.126382352963614,-0.0714285714285714,-0.210124076730963,-0.210124076730963,-0.150780780780781,-0.205578622185509,-0.158888888888889,-0.153625730994152,-0.17,-0.155262907154338,-0.167909448671118,-0.152504286464682,-0.114789788394213,0.0187312843244688,0.162135176651306,-0.15,0.214285714285714,-0.178209415584416
"EGR1",-0.136836196501963,-0.136836196501963,-0.225,-0.2,-0.197619047619048,-0.0705738225147004,-0.2375,-0.221710526315789,-0.133292079207921,0.17,-0.219858674463938,0.145975970354656,0.153137926116103,-0.0284639853700627,0.148800582760979,-0.162493201342664,-0.153493201342664,-0.00831828801338179,-0.234871794871795,-0.248717948717949,0.210124076730963,0.158888888888889,-0.117784604881379,-0.230476190476191,-0.125354670830081,-0.173264527948194,-0.112740923493093,-0.0901828856016755,-0.0984297661717017,-0.211660034389585,-0.16,-0.110555131143366,-0.196993367722918,-0.0828697534349708,-0.0969187675070028,-0.181739130434783,0.121291560102302,-0.126382352963614,-0.0714285714285714,-0.210124076730963,-0.210124076730963,-0.150780780780781,-0.205578622185509,-0.158888888888889,-0.153625730994152,-0.17,-0.155262907154338,-0.167909448671118,-0.152504286464682,-0.114789788394213,0.0187312843244688,0.162135176651306,-0.15,0.214285714285714,-0.178209415584416
