"","TGF","SHH","IKK","Csn","NOTCH","TrCP","NOTCHic","Csl","cfos","EGR1","ERK","LIV1","RAF","cateninmemb","TCFLEF","DSH","SRC","cMet","cateninnuc","CD44","GLI","Frizzled","STAT","Wnt","AXIN2","Ecadherin","RAS","PI3K","DELTA","GSK3","Destcompl","SNAI2","MEK","miR200","TWIST1","Jagged","RKIP","SUFU","SOSGRB2","NFB","AKT","FUS","SNAI1","SMO","Patched","ILK","ZEB2","ZEB1","SMAD","HEY1","CDC42","TGFR","PAK1","FOXC2","KLF4"
"NOTCHic",0.305084491929776,0.183384420765825,0.111111111111111,0.133333333333333,0.104145040019403,0.1,0.0804608294930876,0.151428571428571,-0.02,-0.02,-0.0414285714285714,-0.1,0.0526745718050066,-0.0635390001374951,-0.114108748394463,-0.16,0.136923076923077,0.10965034965035,-0.121895007936447,0.106353646353646,-0.108575080833145,-0.136923076923077,0.16,-0.10965034965035,0.161276579814316,-0.120833325966698,-0.0374036358444155,-0.0526745718050066,-0.0526745718050066,-0.0765428580475603,0.128281396215976,-0.252532875850099,0.0357142857142857,-0.153544528689037,-0.120637352094659,-0.0957914687716012,-0.205501799479459,-0.133333333333333,-0.242535885167464,-0.1,-0.11343669250646,-0.133333333333333,-0.26004477004477,-0.187179487179487,-0.193061840120664,-0.173809523809524,-0.304170692431562,-0.304170692431562,-0.187478588557725,-0.278896321070234,-0.260888888888889,-0.280243727598566,-0.288888888888889,-0.336846609611587,-0.286128364389234
"Csl",0.30576476403862,0.19114304145548,0.11343669250646,0.1,0.0995995854739488,0.133333333333333,0.104145040019403,0.0804608294930876,-0.0414285714285714,-0.02,-0.0357142857142857,-0.16,0.0374036358444155,-0.0627744741436113,-0.121895007936447,-0.136923076923077,0.10965034965035,0.106353646353646,-0.123324396158288,0.114108748394463,-0.116639596962178,-0.10965034965035,0.136923076923077,-0.108575080833145,0.163590204492979,-0.118624023641116,-0.038506577020886,-0.0374036358444155,-0.0374036358444155,-0.0811083956027885,0.134923687501777,-0.260064568616691,0.0172360248447205,-0.150712284680323,-0.112736674893756,-0.0957914687716012,-0.202275993027846,-0.133333333333333,-0.24009686077722,-0.111111111111111,-0.123514211886305,-0.187179487179487,-0.25806848545979,-0.193061840120664,-0.183384420765825,-0.187478588557725,-0.303618206243717,-0.303618206243717,-0.196367477446614,-0.288700242638862,-0.280243727598566,-0.305084491929776,-0.260888888888889,-0.337421322255265,-0.297556935817805
"TCFLEF",0.465188546245069,-0.0941148586883794,0.0923100125680771,0.048051948051948,0.0426666412452672,0.0571428571428571,0.043663318986131,0.043663318986131,0.0356445993031359,0.0185714285714286,0.0480255516840883,0.133333333333333,-0.0287353609411371,-0.10875870809279,0.0348635612480195,0.150980392156863,-0.140833333333333,-0.133141025641026,0.0375267914885694,-0.130625302370585,0.135803612414866,0.145980392156863,-0.145833333333333,0.138288084464555,-0.485185347985348,-0.0822895591436454,0.0241361493774052,0.0287353609411371,0.0287353609411371,-0.188970888279916,0.228579870414115,-0.248659810224267,-0.0500663680106189,-0.165019037187712,-0.279165776641194,-0.133363821673998,-0.147242962758874,0.1,-0.185561185321664,-0.060051948051948,-0.0977447951767727,0.12,-0.259761482125499,0.100952380952381,0.0928878648233487,-0.0361926027189185,-0.294961102250576,-0.294961102250576,-0.0360013981300084,-0.0402920671170743,-0.46386404293381,-0.46386404293381,-0.461538461538462,-0.469857576345297,-0.290332951362363
"STAT",0.223319146846035,0.18123413596762,0.0742857142857143,0.1,0.067860321772372,0.1,0.0571807101218866,0.0274509803921569,-0.0533333333333333,-0.0333333333333333,-0.0592156862745098,-0.3,0.124762200165426,-0.0846541406290574,-0.176706298433428,-0.214285714285714,0.176785714285714,0.158603896103896,-0.180401173284441,0.166296203796204,-0.167847593582888,-0.176785714285714,0.214285714285714,-0.158603896103896,0.217487218663689,-0.20176524496157,-0.118792050911695,-0.124762200165426,-0.124762200165426,-0.136593235425011,0.172527148696176,-0.214332569891253,0.0430866540164453,-0.149354526686239,-0.0378700260259481,-0.0498240310348443,-0.185990990990991,-0.15,-0.288711001642036,-0.06,-0.0929297820823245,-0.15,-0.23655895920605,-0.183333333333333,-0.185658914728682,-0.180273752012882,-0.294055944055944,-0.294055944055944,-0.189469154311733,-0.180666666666667,-0.184659090909091,-0.208343301435407,-0.190909090909091,-0.274554873892297,-0.1794513765102
"NOTCH",0.280243727598566,0.193061840120664,0.1,0.1,0.0804608294930876,0,0.151428571428571,0.18,-0.02,0,-0.02,0,0.0715151515151515,-0.0625248013545337,-0.106353646353646,-0.1,0.16,0.136923076923077,-0.114108748394463,0.10965034965035,-0.10965034965035,-0.16,0.1,-0.136923076923077,0.16822102425876,-0.114554612337295,-0.0526745718050066,-0.0715151515151515,-0.0715151515151515,-0.0872866597004528,0.124614729549309,-0.246721252603606,0.0414285714285714,-0.147186147186147,-0.111203389830508,-0.0938047138047138,-0.19000884173298,-0.1,-0.265263157894737,-0.133333333333333,-0.111111111111111,-0.133333333333333,-0.266923076923077,-0.133333333333333,-0.187179487179487,-0.173809523809524,-0.290096618357488,-0.290096618357488,-0.173809523809524,-0.280434782608696,-0.288888888888889,-0.260888888888889,-0.3,-0.31265306122449,-0.278985507246377
"GLI",0.361495171393216,-0.0238562676532601,0.0859708795799021,0.0722222222222222,0.0127084122773778,0.0833333333333333,0.0146131741821397,-0.0078868258178603,-0.0826190476190476,-0.0742857142857143,-0.0787229437229437,-0.15,-0.133765176806684,-0.0777878744215486,-0.110778452671342,0,0.100967741935484,0.0960896931549961,-0.112870502880547,0.102986244879134,-0.0746723727239695,0.0290322580645161,0.13,0.032561669829222,0.141011473429952,-0.104656102644296,0.135151315420545,0.133765176806684,0.133765176806684,0.054257410280001,0.141313703091326,-0.24616473111232,0.0693306785295736,-0.129961555472391,-0.123935746389057,-0.0401645372410928,-0.157652837066938,0.0476190476190476,-0.219331494464238,-0.0880116959064327,-0.0906583795799021,0.0226190476190476,-0.172605454486031,0.0173558897243108,0.0275599713569638,-0.0809941742872028,-0.257291175968595,-0.257291175968595,-0.0896428229358514,-0.0780508823378093,-0.333908045977012,-0.358436347863804,-0.316666666666667,-0.271700313897489,-0.252765336765337
"CD44",0.254166666666667,0.176363636363636,0.0666666666666667,0.2,0.0984962406015037,0.1,0.114285714285714,0.1,0.15,0.2,0.11,-0.1,0.00476190476190477,-0.0670695970695971,-0.185658914728682,0,0.2,0.25,-0.170274299344067,0.183333333333333,-0.183333333333333,-0.1,0.1,-0.15,0.2,-0.130643795461948,-0.00190476190476191,-0.00476190476190477,-0.00476190476190477,-0.0696428571428571,-0.0831114263887373,-0.283596403596404,-0.08,-0.156139657444005,-0.192820512820513,-0.0907226107226107,-0.163703703703704,-0.1,-0.314285714285714,-0.1,-0.113333333333333,-0.1,-0.228654970760234,-0.1,-0.14,-0.166666666666667,-0.241269841269841,-0.241269841269841,-0.156462585034014,-0.136842105263158,-0.3,-0.2875,-0.2,-0.262083333333333,-0.16031746031746
"cMet",0.241400709219858,0.176363636363636,0.113333333333333,0.1,0.0921132618780995,0.2,0.0984962406015037,0.114285714285714,0.11,0.15,0.08,-0.1,0.00190476190476191,-0.0645784938667501,-0.170274299344067,-0.1,0.25,0.183333333333333,-0.157844920812993,0.185658914728682,-0.187878787878788,-0.15,0.2,-0.183333333333333,0.214285714285714,-0.127335907421235,-0.0113387241689129,-0.00190476190476191,-0.00190476190476191,-0.0857718894009216,-0.0932465615238724,-0.278486914545309,-0.0854545454545455,-0.156139657444005,-0.189449726303659,-0.0842008715921759,-0.171111111111111,-0.1,-0.300952380952381,-0.0666666666666667,-0.144583333333333,-0.1,-0.233739716522946,-0.14,-0.176363636363636,-0.156462585034014,-0.238239538239538,-0.238239538239538,-0.147371675943105,-0.130959752321981,-0.2875,-0.254166666666667,-0.3,-0.253222573839662,-0.141269841269841
"Destcompl",0.217104337197674,0.00116026961662351,-0.0454199541156063,-0.00476190476190477,0.115428828671836,-0.0333333333333333,0.106811594202899,0.0915942028985507,0.0244289044289044,0.0456410256410256,0.0151392869425656,0.0722222222222222,0.0790073004493427,-0.201799937313623,0.0848759788792502,0.0507936507936508,-0.0713415959991302,-0.091739605949379,0.0792665959113766,-0.0932321432628118,0.0934323765057523,0.0713415959991302,-0.0507936507936508,0.092133675207051,-0.144368479901583,-0.150781647564694,-0.0710010210144918,-0.0790073004493427,-0.0790073004493427,-0.142520591987964,0.0573955370560927,0.108460427989511,-0.0210464599383462,-0.143814828386359,-0.155761042324119,-0.182928657455273,-0.219237333059731,0.0111111111111111,-0.0778251034712131,0.0265010351966874,0.0434065312968143,-0.00613026819923371,-0.222448526774207,-0.00898741105637657,-0.0032879291910916,-0.153650793650794,-0.232370967505103,-0.232370967505103,-0.161019214703425,-0.162564102564103,-0.192878254750176,-0.206562465276492,-0.196326530612245,-0.226735231402677,-0.233886325045647
"NFB",0.118006035033883,0.221289756728062,0.0637709137709138,-0.0285714285714286,0.196054554764232,-0.1,0.177344877344877,0.185281385281385,0.0237142857142857,0.0357142857142857,0.00371428571428571,0.05,0.118528837879059,0.00805198745887661,-0.0117886921298206,-0.0277777777777778,0.0508547008547009,0.0308547008547009,-0.0198671235023697,0.0122106330580907,-0.0128771727648132,-0.0508547008547009,0.0277777777777778,-0.0308547008547009,0.00174772036474163,-0.0904146077947984,-0.104598489620353,-0.118528837879059,-0.118528837879059,0.0498739495798319,-0.134432183211813,0.216808282506677,0.00608963585434174,-0.117278642807344,-0.0531279178338002,-0.0987918006738002,-0.119020596889449,-0.16,-0.0951481645289695,-0.0880952380952381,-0.0504375804375804,-0.2,-0.146221219127734,-0.211111111111111,-0.224904214559387,-0.224291804180418,-0.229594849191945,-0.229594849191945,-0.23135500120644,-0.236451422674333,-0.111616161616162,-0.102816161616162,-0.138888888888889,-0.127941337104684,-0.221978021978022
