"","ZEB1","GSK3","SUFU","SMO","FUS","HEY1","Csn","ILK","SMAD","NFB","IKK","AKT","TrCP","TWIST1","NOTCH","NOTCHic","Csl","Jagged","Destcompl","CDC42","TGFR","TGF","Wnt","GLI","STAT","SRC","cMet","miR200","CD44","cateninnuc","ZEB2","RAS","RAF","DELTA","cateninmemb","SOSGRB2","SNAI2","Ecadherin","KLF4","PI3K","TCFLEF","LIV1","FOXC2","Frizzled","DSH","AXIN2","PAK1","EGR1","cfos","ERK","MEK","SHH","Patched","SNAI1","RKIP"
"KLF4",-0.164478844169247,-0.393101590067477,-0.2,-0.35,-0.3,0.000687547746371277,-0.1,-0.036,-0.027304347826087,-0.12,-0.134285714285714,-0.134285714285714,-0.1,0.212030501089325,0.333723671878854,0.326507177033493,0.305454545454545,0.417561219390305,-0.402433632817645,-0.315636363636364,-0.351636363636364,-0.366758314855876,-0.440538075695394,-0.449158765350567,-0.366666666666667,-0.419607843137255,-0.440538075695394,0.267342287342287,-0.448364162651916,-0.438924644457187,-0.357094943240454,0.11171568627451,0.118333333333333,0.118333333333333,-0.389528942150893,0.0360062893081761,0.501520295078977,-0.0771213972552241,-0.325925925925926,-0.118333333333333,0.44602302552817,0.3,0.341983150724833,0.419607843137255,0.366666666666667,0.503486903827658,0.263636363636364,-0.04,-0.0309090909090909,-0.019144385026738,0.00250509950934451,0.38877688172043,0.38125,0.390642567405208,0.351844980416409
"Wnt",0.00631276901004304,-0.463871473354232,0,0,0,0.0917948717948718,0.1,0.105128205128205,0.107453786523554,0.133333333333333,0.153333333333333,0.190833333333333,0.1,-0.130882352941176,-0.0857142857142857,-0.0857142857142857,-0.1,0.0897303921568628,-0.424127087906101,-0.133333333333333,-0.14,-0.144347826086957,-0.1,-0.105263157894737,-0.1,-0.1,-0.1,0.26020202020202,-0.105263157894737,-0.101029477667679,-0.344476327116212,-0.263192071086808,-0.258646616541353,-0.258646616541353,0.0817796610169492,-0.00909090909090909,0.0175,0.255205874639392,-0.317647058823529,0.258646616541353,0.101691729323308,0,0.132955465587045,0,0,0.149090909090909,0.1,0.1,0.133333333333333,0.193333333333333,0.222745098039216,-0.0510822510822511,-0.0272727272727273,0.263923395445135,0.301666666666667
"RAS",-0.0779455081001473,-0.0836692506459948,-0.1,-0.116666666666667,-0.1,0.0221343873517787,-0.1,-0.0662337662337662,-0.0641929499072356,-0.0666666666666667,-0.0866666666666667,-0.0644444444444444,-0.1,-0.176486633933442,0.00714995034756703,0.00526315789473684,0,-0.0571890400157698,-0.151475096242538,-0.1,-0.105882352941176,-0.100931857891672,-0.0941176470588235,-0.0899509803921569,-0.1,-0.1,-0.0941176470588235,0.191630769230769,-0.0877346683354193,-0.0817028531251338,-0.237135493372607,-0.172564102564103,-0.0725641025641026,-0.0725641025641026,0.00509390170182964,-0.157142857142857,-0.316533090658307,0.0468193460959263,-0.227857142857143,0.0725641025641026,0.0831192837200347,0,0.0907936507936508,0.1,0.1,0.115652173913043,0.1,-0.08,-0.105,-0.0892105263157895,-0.0754850361197111,0.0814124293785311,0.0966666666666667,0.22960668633235,0.0646729559748428
"Jagged",0.0915458937198068,0.162835249042146,0,0.0333333333333333,0,0.216666666666667,0,0.116666666666667,0.111904761904762,0,0.0333333333333333,0.0888888888888889,0,-0.212,0.0371428571428572,0.08,0.1,-0.0615584415584416,0.289837837837838,0,0.0555555555555556,0.107555555555556,0.2,0.253846153846154,0,0.1,0.2,0.213939393939394,0.253846153846154,0.322377622377622,-0.234541062801932,-0.12,-0.12,-0.12,0.299478690323761,-0.06,-0.392257415786828,0.208736842105263,-0.238888888888889,0.12,-0.299300699300699,0,-0.0828571428571429,-0.1,0,-0.27,0,0.1,0,0.06,0.0933333333333333,-0.152564102564103,-0.0833333333333333,-0.0416666666666667,0.0615384615384615
"DELTA",0.0915458937198068,0.162835249042146,0,0.0333333333333333,0,0.216666666666667,0,0.116666666666667,0.111904761904762,0,0.0333333333333333,0.0888888888888889,0,-0.212,0.0371428571428572,0.08,0.1,-0.0615584415584416,0.289837837837838,0,0.0555555555555556,0.107555555555556,0.2,0.253846153846154,0,0.1,0.2,0.213939393939394,0.253846153846154,0.322377622377622,-0.234541062801932,-0.12,-0.12,-0.12,0.299478690323761,-0.06,-0.392257415786828,0.208736842105263,-0.238888888888889,0.12,-0.299300699300699,0,-0.0828571428571429,-0.1,0,-0.27,0,0.1,0,0.06,0.0933333333333333,-0.152564102564103,-0.0833333333333333,-0.0416666666666667,0.0615384615384615
"TWIST1",-0.100633967300634,-0.0604312166992977,-0.166666666666667,-0.165777777777778,-0.177777777777778,-0.119960265722978,-0.05,-0.114246064246064,-0.109295569196559,-0.0576923076923077,-0.0529304029304029,-0.0427609114049792,-0.1,-0.0201362100904435,-0.0782088910390797,-0.0687749287749288,-0.0585185185185185,-0.0907161305321219,-0.0511179136051267,-0.171473354231975,-0.161473354231975,-0.148944880427875,-0.00487886382623226,0.00712113617376774,-0.0380952380952381,-0.026984126984127,-0.00357987166497806,0.177717919155924,0.00886992753180909,0.0237505994780703,-0.216040602005514,-0.0718550316868964,-0.0708276344266224,-0.0708276344266224,0.0510859394720228,-0.155271959162119,0.261399432677567,0.11125187451568,-0.226370648321868,0.0708276344266224,-0.0185177070111353,0.0666666666666667,0.165179119455188,0.026984126984127,0.0380952380952381,0.0353830040926815,0.181818181818182,-0.0266666666666667,-0.0484057971014493,-0.040511060259344,-0.0370284731946674,0.135438348666502,0.150709284627093,0.159221334788758,0.12959277959278
"NOTCH",0.117471819645733,0.196926158133055,0,0.0833333333333333,0.0333333333333333,0.21231884057971,0,0.111904761904762,0.135238095238095,0.0333333333333333,0.0888888888888889,0.122222222222222,0,-0.206915254237288,-0.0789861751152074,0.0371428571428572,0.08,-0.0911880711880712,0.313202323819146,0.0555555555555556,0.107555555555556,0.152716845878136,0.253846153846154,0.299300699300699,0.1,0.2,0.253846153846154,0.196796536796537,0.299300699300699,0.336663336663337,-0.193800322061192,-0.127246376811594,-0.12,-0.12,0.307332093465122,-0.0442105263157895,-0.422416145945558,0.188575551782683,-0.234541062801932,0.12,-0.322377622377622,0,-0.125714285714286,-0.2,-0.1,-0.324716981132075,0,0,0.06,0.0933333333333333,0.0719047619047619,-0.170211161387632,-0.152564102564103,-0.073974358974359,0.00981432360742706
"PAK1",0.122879662883011,0.174022727272727,0.0761904761904762,0.152534562211982,0.142857142857143,0.134479083987418,0.0833333333333333,0.138965693804403,0.138965693804403,0.120833333333333,0.115570175438596,0.130384990253411,0.0333333333333333,-0.171240542066629,-0.0601465201465201,-0.0579487179487179,-0.041025641025641,-0.0511349693251534,0.313971373801031,0.126890756302521,0.142042271454036,0.15624992172726,0.296530214424951,0.309700946132268,0.24,0.280740740740741,0.296956956956957,0.179504618337106,0.30982824408567,0.309146251748505,-0.171341787209915,-0.120139245153592,-0.122866517880865,-0.122866517880865,0.275312293968458,-0.0139026402640264,-0.409914971843273,0.153164776168576,-0.186339318240958,0.122866517880865,-0.310939355196781,-0.2,-0.126573044693066,-0.280740740740741,-0.24,-0.353444248226291,-0.0857142857142857,0.08,0.0669565217391304,0.0483124539425203,0.0469791206091869,-0.189929623940377,-0.180929623940377,-0.0904936733709278,-0.0182884518796121
"LIV1",0.122879662883011,0.174022727272727,0.0761904761904762,0.152534562211982,0.142857142857143,0.134479083987418,0.0833333333333333,0.138965693804403,0.138965693804403,0.120833333333333,0.115570175438596,0.130384990253411,0.0333333333333333,-0.171240542066629,-0.0601465201465201,-0.0579487179487179,-0.041025641025641,-0.0511349693251534,0.313971373801031,0.126890756302521,0.142042271454036,0.15624992172726,0.296530214424951,0.309700946132268,0.24,0.280740740740741,0.296956956956957,0.179504618337106,0.30982824408567,0.309146251748505,-0.171341787209915,-0.120139245153592,-0.122866517880865,-0.122866517880865,0.275312293968458,-0.0139026402640264,-0.409914971843273,0.153164776168576,-0.186339318240958,0.122866517880865,-0.310939355196781,-0.2,-0.126573044693066,-0.280740740740741,-0.24,-0.353444248226291,-0.0857142857142857,0.08,0.0669565217391304,0.0483124539425203,0.0469791206091869,-0.189929623940377,-0.180929623940377,-0.0904936733709278,-0.0182884518796121
"NOTCHic",0.124138486312399,0.21841376143884,0.0333333333333333,0.152564102564103,0.0833333333333333,0.23231884057971,0.0333333333333333,0.135238095238095,0.140274066461117,0.0888888888888889,0.122222222222222,0.119896640826873,0,-0.206286323419678,-0.100038806694155,-0.0789861751152074,0.0371428571428572,-0.0958238327774752,0.32753565715248,0.107555555555556,0.152716845878136,0.173735954158391,0.299300699300699,0.32188134446199,0.2,0.253846153846154,0.299300699300699,0.18003353101619,0.322377622377622,0.338953412999215,-0.169355877616747,-0.123798100949525,-0.127246376811594,-0.127246376811594,0.304289497116238,-0.0260287081339713,-0.439851015685037,0.172802198030768,-0.191683919944789,0.127246376811594,-0.336663336663337,-0.1,-0.140230414746544,-0.253846153846154,-0.2,-0.359439203354298,-0.0555555555555556,0.06,0.0933333333333333,0.0719047619047619,0.0547619047619048,-0.201393957086557,-0.170211161387632,-0.10519129019129,-0.0169462397728546
