"","miR200","OVOL2","ZEB"
"miR200",0.293298088600855,-0.151578193314287,-0.325100808557378
"OVOL2",-0.00943777658112495,-0.0949761197617167,-0.0886094514295874
"ZEB",-0.295064278676549,0.152251027628837,0.226319958126215
