"","miR200","SNAIL","OVOL2","ZEB"
"miR200",0.9,0,0,-1
"OVOL2",0.0142363192363192,0,0,-0.131384961002553
"ZEB",-1,0,0,1
"SNAIL",-1,0,0,1
