"","ZEB","SNAIL","OVOL2","miR200"
"ZEB",1,0,0,-1
"SNAIL",1,0,0,-1
"OVOL2",-0.131384961002553,0,0,0.0142363192363192
"miR200",-1,0,0,0.9
