"","ZEB","SNAIL","OVOL2","miR200"
"ZEB",0.383397945065788,0,-0.215234164373375,-0.215234164373375
"SNAIL",0.476172253718776,0,-0.215234164373375,-0.215234164373375
"OVOL2",-0.114760980612596,0,-0.0194721371066226,-0.0194721371066226
"miR200",-0.476172253718776,0,0.215234164373375,0.215234164373375
