"","miR200","OVOL2","ZEB"
"miR200",0.498169786571859,0.268300668540896,-0.620468752054269
"OVOL2",0.277720348944597,0.0557622002053686,-0.30878205155565
"ZEB",-0.517429668825854,-0.277720348944597,0.540777999749779
