"","OVOL2","miR200","ZEB"
"OVOL2",-0.00404340478948027,-0.00404340478948027,-0.157643769092024
"ZEB",-0.12414151468104,-0.12414151468104,0.157643769092024
"miR200",-0.12414151468104,-0.12414151468104,0.257614033736687
