"","OVOL2","ZEB","miR200"
"miR200",0.103875112081794,-0.207437692954174,-0.206104796627159
"OVOL2",-0.0407947538000085,-0.067932805513019,-0.103202277767244
"ZEB",-0.103202277767244,0.107705311152211,0.206525318073752
