"","OVOL2","miR200","ZEB"
"miR200",0.158129870627082,-0.15346885367793,-0.356085339796307
"OVOL2",-0.0306953567445197,-0.0622130097893448,-0.0854530091055213
"ZEB",-0.154959841808638,0.158129870627082,0.257918009119016
