"","ZEB","SNAIL","OVOL2","miR200"
"ZEB",0.157643769092024,0,-0.12414151468104,-0.12414151468104
"SNAIL",0.1,0,-0.0768158387168585,-0.176815838716859
"OVOL2",-0.157643769092024,0,-0.00404340478948027,-0.00404340478948027
"miR200",0.257614033736687,0,-0.12414151468104,-0.12414151468104
