"","OVOL2","miR200","ZEB"
"miR200",0.601128174990151,0.235928851084223,-0.627178595158218
"OVOL2",0.235928851084223,0.019240751149565,-0.243497658423672
"ZEB",-0.627178595158218,-0.243497658423672,0.549557311903133
