"","ZEB","SNAIL","OVOL2","miR200"
"ZEB",0.3875,0,-0.19375,-0.19375
"SNAIL",0.5125,0,-0.225,-0.325
"OVOL2",0.19375,0,-0.09375,-0.09375
"miR200",-0.48125,0,0.19375,0.19375
