"","ZEB","SNAIL","OVOL2","miR200"
"ZEB",0.3875,0,-0.19375,-0.19375
"SNAIL",0.48125,0,-0.19375,-0.29375
"OVOL2",-0.19375,0,0,0
"miR200",0,0,0,0
