states,coherence
'11101100',0.62
'01101100',0.53
'00010011',0.62
'10010011',0.5
'11101000',0.29
'00010111',0.3
'00110101',0.2
'11001010',0.19
'10101100',0.58
'01010011',0.57
'00101100',0.45
'10001010',0.2
'11010011',0.46
'01110101',0.18
'01010111',0.23
'10101000',0.24
'10000011',0.56
'01111100',0.55
'00110100',0.25
'11011010',0.13
'11001011',0.25
'00100101',0.14
'10100101',0.31
'01011010',0.32
'11101001',0.26
'00010110',0.27
