states,coherence
'11000011',0.59
'01101100',0.5
'01110101',0.22
'10001011',0.3
'10011010',0.22
'00111100',0.56
'01100101',0.24
'11010011',0.58
'01110100',0.31
'10101000',0.38
'10101001',0.33
'01010110',0.34
'10010011',0.51
'11001010',0.21
'10001010',0.23
'00110101',0.23
'00010111',0.28
'00101100',0.58
'01010111',0.34
'11101000',0.3
