states,coherence
'01101100',0.82
'11101000',0.34
'10010011',0.82
'00010111',0.34
'00101100',0.73
'11010011',0.74
'10101000',0.28
'01010111',0.25
'00100101',0.43
'11101001',0.3
'11011010',0.44
'00010110',0.26
