states,coherence
'11001010',0.44
'10001010',0.37
'01010111',0.28
'00010111',0.32
'11101000',0.36
'00110101',0.44
'10101000',0.31
'01110101',0.34
'00110100',0.5
'01111100',0.75
'10000011',0.76
'11001011',0.5
'11101001',0.31
'00010110',0.3
