states,coherence
'01111100',0.56
'11001011',0.31
'00110100',0.32
'11101000',0.35
'01101100',0.56
'10000011',0.54
'10010011',0.58
'11001010',0.25
'00110101',0.26
'11011010',0.24
'00010110',0.33
'00010111',0.34
'00100101',0.26
'11101001',0.33
'11010011',0.5
'10001010',0.26
'00101100',0.53
'01010111',0.29
'10101000',0.29
'01110101',0.24
