"","Ecadherin","Iext","KEAP1","NRF2","SNAIL","ZEB","miR200","miR34"
"Ecadherin",1,-0.043829987542995,-0.647329098394813,-0.311049738990463,-0.0916773077768748,-1,0.647329098394813,0.49739912813687
"Iext",-0.043829987542995,1,0.21712755290396,-0.0170637719482963,0.567110136578349,0.043829987542995,-0.21712755290396,-0.161342790309751
"KEAP1",-0.647329098394813,0.21712755290396,1,-0.0416784092977401,0.444399428770493,0.647329098394813,-1,-0.592697035177656
"NRF2",-0.311049738990463,-0.0170637719482963,-0.0416784092977401,1,-0.449947646929948,0.311049738990463,0.0416784092977401,0.0442301982753655
"SNAIL",-0.0916773077768748,0.567110136578349,0.444399428770493,-0.449947646929948,1,0.0916773077768748,-0.444399428770493,-0.594276473387241
"ZEB",-1,0.043829987542995,0.647329098394813,0.311049738990463,0.0916773077768748,1,-0.647329098394813,-0.49739912813687
"miR200",0.647329098394813,-0.21712755290396,-1,0.0416784092977401,-0.444399428770493,-0.647329098394813,1,0.592697035177656
"miR34",0.49739912813687,-0.161342790309751,-0.592697035177656,0.0442301982753655,-0.594276473387241,-0.49739912813687,0.592697035177656,1
