states,coherence
'10010011',0.57
'11101000',0.36
'01101100',0.56
'11001010',0.25
'00010111',0.36
'00110101',0.23
'11010011',0.52
'00101100',0.5
'10101000',0.32
'01110101',0.24
'01010111',0.3
'10001010',0.25
'11001011',0.3
'11011010',0.22
'00110100',0.3
'10000011',0.58
'01111100',0.56
'00100101',0.22
'11101001',0.32
'00010110',0.31
