states,coherence
'00010111',0.48
'00110101',0.44
'11101000',0.52
'11001010',0.43
'11010011',0.39
'00101100',0.41
'01010111',0.41
'01110101',0.38
'10101000',0.41
'10010011',0.41
'10001010',0.36
'01101100',0.39
'10010010',0.44
'00100101',0.38
'01101101',0.4
'11011010',0.38
'01111100',0.44
'10000011',0.4
