states,coherence
'00010101',0.44
'11001000',0.2
'11101010',0.44
'00110111',0.2
'01010101',0.38
'10101010',0.39
'10001000',0.19
'01110111',0.2
'01011100',0.76
'00010100',0.5
'10100011',0.74
'00110110',0.22
'11001001',0.21
'11011000',0.16
'11101011',0.5
'00100111',0.17
