"","Ecadherin","Iext","KEAP1","NRF2","SNAIL","ZEB","miR200","miR34"
"Ecadherin",1,-0.0171191333036382,-0.676373288427894,-0.242668112557906,-0.0823709708226732,-1,0.676373288427894,0.465233461565517
"Iext",-0.0171191333036382,1,0.177830737113088,-0.0160649048824343,0.552469670129447,0.0171191333036382,-0.177830737113088,-0.169603582819784
"KEAP1",-0.676373288427894,0.177830737113088,1,-0.0809661394853368,0.406003304309143,0.676373288427894,-1,-0.563500494084378
"NRF2",-0.242668112557906,-0.0160649048824343,-0.0809661394853368,1,-0.463585961459125,0.242668112557906,0.0809661394853368,0.0807290328727796
"SNAIL",-0.0823709708226732,0.552469670129447,0.406003304309143,-0.463585961459125,1,0.0823709708226732,-0.406003304309143,-0.617127661333127
"ZEB",-1,0.0171191333036382,0.676373288427894,0.242668112557906,0.0823709708226732,1,-0.676373288427894,-0.465233461565517
"miR200",0.676373288427894,-0.177830737113088,-1,0.0809661394853368,-0.406003304309143,-0.676373288427894,1,0.563500494084378
"miR34",0.465233461565517,-0.169603582819784,-0.563500494084378,0.0807290328727796,-0.617127661333127,-0.465233461565517,0.563500494084378,1
