states,coherence
'10010011',0.56
'00010111',0.34
'11101000',0.35
'11001010',0.28
'01101100',0.58
'00110101',0.28
'01010111',0.29
'01110101',0.27
'10001010',0.29
'00101100',0.49
'10101000',0.32
'11010011',0.53
'10000011',0.56
'00110100',0.34
'01111100',0.54
'00010110',0.33
'11101001',0.34
'11011010',0.29
'11001011',0.35
'00100101',0.29
