states,coherence
'00110101',0.34
'11001010',0.37
'10010011',0.48
'00101100',0.42
'01101100',0.47
'01110101',0.38
'11010011',0.41
'10001010',0.4
'11001011',0.45
'00110100',0.44
'10100001',0.48
'11011010',0.3
'01011110',0.5
'00100101',0.34
'01111100',0.41
'10000011',0.41
