states,coherence
'01101100',0.5
'11000011',0.54
'10000011',0.62
'10011010',0.25
'11101000',0.38
'01111100',0.62
'00110101',0.25
'00111100',0.56
'10010011',0.5
'00010111',0.35
'11001010',0.24
'01100101',0.26
'11011010',0.25
'00100101',0.24
'11011011',0.31
'00100100',0.32
