states,coherence
'01101100',0.63
'00110101',0.28
'11010011',0.58
'00101100',0.58
'11001010',0.29
'01110101',0.24
'10001010',0.24
'10010011',0.61
'10000011',0.58
'01111100',0.58
'00110100',0.32
'11001011',0.32
'11011010',0.24
'00100101',0.22
