states,coherence
'11001010',0.24
'01101100',0.64
'01110101',0.25
'00101100',0.56
'10010011',0.62
'11010011',0.58
'10001010',0.25
'00110101',0.22
'01111100',0.53
'10000011',0.52
'00100101',0.25
'00110100',0.3
'11011010',0.22
'11001011',0.29
