states,coherence
'00110100',0.31
'01110100',0.46
'11001011',0.31
'11101001',0.36
'10001011',0.43
'11101000',0.28
'11001010',0.23
'01101100',0.57
'10010011',0.6
'10101001',0.37
'00010110',0.36
'00110101',0.25
'01010110',0.37
'00010111',0.31
'00100100',0.44
'11011011',0.45
