states,coherence
'01010111',0.43
'11101000',0.5
'10010011',0.52
'01101100',0.57
'00010111',0.5
'11010011',0.45
'10101000',0.46
'00101100',0.48
'01111100',0.56
'10000011',0.58
'00010110',0.55
'11101001',0.56
