states,coherence
'11010011',0.54
'01101100',0.44
'00101100',0.56
'10010011',0.45
'10010010',0.38
'11001011',0.43
'11101001',0.44
'01101101',0.39
'00110100',0.42
'00010110',0.44
'10000011',0.6
'01111100',0.63
