states,coherence
'00110101',0.12
'11101000',0.23
'00110111',0.06
'01101100',0.57
'10010011',0.57
'00010101',0.31
'00010111',0.21
'11001010',0.12
'11001000',0.09
'11101010',0.3
'01010101',0.26
'00101100',0.53
'11010011',0.5
'10001000',0.09
'01110111',0.09
'10101000',0.18
'01010111',0.17
'10101010',0.26
'10001010',0.11
'01110101',0.12
'01011100',0.63
'10100011',0.64
'11101011',0.38
'00110100',0.18
'00010110',0.2
'10000011',0.46
'00010100',0.38
'00100101',0.17
'11001011',0.18
'01111100',0.44
'11001001',0.12
'00110110',0.11
'11011010',0.2
'11011000',0.1
'00100111',0.1
'11101001',0.21
