states,coherence
'00101100',0.45
'11010011',0.46
'01101100',0.54
'01010111',0.37
'01110101',0.22
'10101000',0.36
'11001010',0.23
'00110101',0.24
'00010111',0.41
'10010011',0.52
'11101000',0.42
'10001010',0.21
'10000011',0.49
'01111100',0.48
'11101001',0.39
'00010110',0.42
'11011010',0.21
'00110100',0.28
'11001011',0.3
'00100101',0.19
