states,coherence
'11010011',0.6
'00101100',0.57
'10010011',0.64
'10001010',0.27
'00110101',0.3
'01101100',0.62
'01110101',0.26
'11001010',0.26
'01111100',0.56
'10000011',0.57
'11011010',0.24
'00110100',0.34
'11001011',0.34
'00100101',0.24
