states,coherence
'01101100',0.55
'11001010',0.22
'10010011',0.58
'00010111',0.37
'11101000',0.36
'00110101',0.22
'00101100',0.52
'01110101',0.22
'10001010',0.23
'01010111',0.29
'11010011',0.53
'10101000',0.32
'01111100',0.58
'00110100',0.3
'11001011',0.29
'00010110',0.31
'10000011',0.58
'11101001',0.34
'11011010',0.14
'00100101',0.16
