"","NRF2","ZEB","SNAIL","miR34","miR200","KEAP1","Ecadherin"
"ZEB",-0.0994483655879005,-0.0754053349635925,-0.0293171186919036,-0.0160892824113227,-0.0160892824113227,0.0191882997960544,0.0220906448204645
"miR34",-0.0138524995411525,-0.0384801283026049,0.0227351217837642,-0.0432369979957753,-0.0432369979957753,0.0430847909942532,-0.038063654447908
"KEAP1",-0.112354372200329,-0.038063654447908,0.0280247943278448,-0.0430847909942532,-0.0430847909942532,0.0382304220622144,-0.0344036780606589
"SNAIL",-0.0134119709067913,-0.0365755391496936,-0.0749943945044885,-0.0410890266353934,-0.0410890266353934,0.0432369979957753,-0.0384801283026049
"Ecadherin",-0.00480578163254637,-0.021842839047808,0.0675073626394388,0.0291744293657841,0.0291744293657841,-0.027822207859023,-0.0231354359925789
"miR200",0.201438085321334,-0.0194107383341242,-0.0300825282883674,0.0238367237989672,0.0238367237989672,-0.12206253025058,-0.02098090516435
"NRF2",0.0138524995411525,0.0384801283026049,-0.0227351217837642,0.0432369979957753,0.0432369979957753,-0.0430847909942532,0.038063654447908
