"","ZEB","KEAP1","miR34","miR200","Ecadherin","SNAIL","NRF2"
"SNAIL",-0.181108625344571,-0.126368666521213,-0.126547664134578,-0.126547664134578,0.180763985402615,0.310077281805649,-0.0390063310858894
"KEAP1",-0.180162412056942,-0.125481728246324,-0.126064252518169,-0.126064252518169,0.179099838267096,0.407593533588724,-0.137816738781116
"ZEB",-0.0899506222327899,-0.0241151885432846,-0.0239640169635416,-0.0239640169635416,-0.00998045977961532,0.0691106025154724,0.0973133113258761
"Ecadherin",-0.061135151663102,0.00776205680425122,0.00782644830457318,0.00782644830457318,0.060860964432393,0.192592311755575,-0.210956701498358
"miR200",-0.013896119074895,0.0573455549987099,-0.0431383159690321,-0.0431383159690321,0.0135035773673385,0.136528502863973,-0.00818950930626058
"NRF2",0.180763985402615,0.126064252518169,0.126368666521213,0.126368666521213,-0.180162412056942,-0.409188831657574,0.0385658024515282
"miR34",0.180763985402615,0.126064252518169,0.126368666521213,0.126368666521213,-0.180162412056942,-0.409188831657574,0.0385658024515282
