"","NRF2","miR34","Ecadherin","ZEB","miR200","KEAP1","SNAIL"
"miR200",0.244251780368532,0.0827689401071144,0.0739921689995326,-0.0846889305304452,0.00380659762607991,-0.114129178271241,-0.0942125000927909
"Ecadherin",0.222897486410741,0.160933321970525,0.0655917098774242,-0.0617922582518856,0.028777097336278,-0.0290990548378878,-0.130770687530049
"NRF2",-0.00456659246096872,0.093191401834896,0.0426635491090101,-0.0549263903861966,-0.0536204558938076,0.0481410038390131,-0.0719139170534097
"miR34",-0.00456659246096872,0.093191401834896,0.0426635491090101,-0.0549263903861966,-0.0536204558938076,0.0481410038390131,-0.0719139170534097
"ZEB",-0.143704996792399,-0.0821669815276731,-0.0714517545542913,-0.0348657276418952,-0.0275757495504969,0.0207730284620616,0.108064014561809
"KEAP1",-0.0823247933068215,-0.117087901073861,-0.0654498537134965,0.0426635491090101,0.0481410038390131,-0.0619274116060034,0.0503354115958111
"SNAIL",0.0135240080263138,-0.108764194197665,-0.0549263903861966,0.0499744585886272,0.0533817924093207,-0.0536204558938076,-0.0445717690275379
