"","SNAIL","ZEB","miR34","KEAP1","Ecadherin","miR200","NRF2"
"ZEB",-0.0902234871590292,-0.0717598984345359,-0.0453806391662637,-0.0434154086296046,-0.0298252152801437,0.0453806391662637,0.114228432062445
"SNAIL",-0.0290731363914895,-0.0446615404750217,0.10124593127768,0.100350943210855,0.0433736754287674,-0.10124593127768,-0.0675207857079122
"KEAP1",0.069886484257952,-0.0438826990289525,0.10293846223673,0.0973073942755648,0.0456536553453634,-0.10293846223673,-0.166118353725863
"miR34",0.0733289695644171,-0.0433736754287674,0.100350943210855,0.10293846223673,0.0438826990289525,-0.100350943210855,-0.0664928855610694
"Ecadherin",0.128104520899879,-0.0288934282101984,0.129391372530834,0.129455764031156,0.0272874744303316,-0.129391372530834,-0.233489442156941
"miR200",0.0048538794281383,-0.0240374817046672,0.0152087201706067,-0.0839848282164901,0.0223691794475524,-0.0152087201706067,-0.0020101584822397
"NRF2",-0.0733289695644171,0.0433736754287674,-0.100350943210855,-0.10293846223673,-0.0438826990289525,0.100350943210855,0.0664928855610694
