"","ZEB","Ecadherin","miR34","miR200","KEAP1","SNAIL","NRF2"
"ZEB",-0.0794797896384366,-0.0135594936144924,-0.00792119022665487,0.00792119022665487,0.00950849181395646,0.03951050470013,0.041932004510424
"SNAIL",-0.0344117356293204,0.039000888540621,0.0680008378960701,-0.0680008378960701,-0.0659125324068099,-0.0892848059671074,0.0285384680574502
"KEAP1",-0.0322910319927265,0.0427987061367643,0.0701743284494279,-0.0701743284494279,-0.0653199595173891,0.0110565167038295,-0.0704682801152634
"miR200",-0.0221081419456262,0.0269167778631925,0.0218326658336269,-0.0218326658336269,0.0794576567470182,0.0250519072562334,-0.132910135549729
"Ecadherin",-0.0142674642985202,0.0234723213294642,0.0944690712465272,-0.0944690712465272,-0.091700236732683,0.040945679351222,-0.112897859252292
"NRF2",0.039000888540621,-0.0322910319927265,-0.0659125324068099,0.0659125324068099,0.0701743284494279,-0.00475928748468593,-0.0201684240045868
"miR34",0.039000888540621,-0.0322910319927265,-0.0659125324068099,0.0659125324068099,0.0701743284494279,-0.00475928748468593,-0.0201684240045868
