"","NRF2","ZEB","SNAIL","miR200","KEAP1","miR34","Ecadherin"
"KEAP1",-0.00269460802355539,-0.0832490779842755,0.0550050297619364,0.11664234258524,-0.116059818313395,-0.11664234258524,-0.0824226317032837
"SNAIL",0.0965414790262227,-0.0829758606601651,-0.0441996005561037,0.116397594453317,-0.116337928582196,-0.116397594453317,-0.0827400543840904
"ZEB",-0.105821069558312,-0.0736316986176156,-0.030173242613776,-0.0234576262580778,0.0230796973087202,0.0234576262580778,0.0261615474196001
"Ecadherin",0.0371813046442453,-0.0396205599932308,0.0884958561900578,0.122312326958065,-0.122376718458387,-0.122312326958065,-0.0392680335537478
"miR200",0.189210470860217,-0.0155408200561507,-0.0370143039302256,-0.00464697095020407,-0.0953530290497959,0.00464697095020407,-0.0152464137754834
"NRF2",-0.0958072646356206,0.0827400543840904,-0.0560965494932547,-0.116337928582196,0.11664234258524,0.116337928582196,0.0832490779842755
"miR34",-0.0958072646356206,0.0827400543840904,-0.0560965494932547,-0.116337928582196,0.11664234258524,0.116337928582196,0.0832490779842755
