"","ZEB","SNAIL","NRF2","Ecadherin","KEAP1","miR34","miR200"
"ZEB",-0.0730881700042127,-0.0383577264740376,-0.0270780889634632,-0.0265672400578135,-0.0235031871667054,0.0306838372044983,0.0306838372044983
"KEAP1",-0.0497644377185,0.0571063642052163,-0.135993238148245,0.0383122535390431,0.0935002230316948,-0.100296339536549,-0.100296339536549
"SNAIL",-0.047483580885469,-0.034923030324172,-0.0295684497504819,0.0377792456777781,0.0995353045289388,-0.0968503403284614,-0.0968503403284614
"miR200",-0.0223623143646949,-0.0254137368969531,0.145579417762159,0.0167685950320158,-0.0943276366647663,0.000456668922830772,0.000456668922830772
"Ecadherin",-0.0122434635478114,-0.051409269872071,0.138283894786187,0.0123609723609724,0.0263574692381496,-0.0172782676927536,-0.0172782676927536
"NRF2",0.0377792456777781,-0.0712961207123532,0.0341205789722146,-0.0497644377185,-0.100296339536549,0.0995353045289388,0.0995353045289388
"miR34",0.0377792456777781,-0.0712961207123532,0.0341205789722146,-0.0497644377185,-0.100296339536549,0.0995353045289388,0.0995353045289388
