"","ZEB","miR34","Ecadherin","KEAP1","miR200","SNAIL","NRF2"
"NRF2",-0.100509922339711,-0.0249273768016855,0.0823238973512796,0.114711869518746,-0.107405933445686,0.0119068242670117,-0.105398784601378
"SNAIL",-0.0851462365062264,-0.00798226940311747,0.100509922339711,0.107405933445686,-0.113909513397954,-0.0754903458547389,-0.0949729402548287
"ZEB",-0.0522980465283948,-0.0399962837590094,-0.0186415353691472,-0.0121497761936094,-0.000246293345317267,0.105970583597977,0.126039351368349
"Ecadherin",-0.00173214163897393,0.12061276026878,0.0173608137893852,-0.00315266322851337,-0.00438114230915566,-0.110915481229448,-0.172949273021814
"miR200",0.0152557063027571,-0.064091090270511,-0.0478366680299406,-0.0737165693100275,-0.0119285919802951,0.0664843949849791,0.196159455321892
"KEAP1",0.0823238973512796,0.00437943159620604,-0.103929564411492,-0.106750704470202,0.114711869518746,-0.0266003591116801,-0.00621170229000781
"miR34",0.100509922339711,0.0249273768016855,-0.0823238973512796,-0.114711869518746,0.107405933445686,-0.0119068242670117,0.105398784601378
