"","NRF2","miR200","ZEB","Ecadherin","miR34","KEAP1","SNAIL"
"SNAIL",-0.0160549987974418,-0.0935935869724973,-0.070815219684282,0.0790684393468976,0.170732151054785,0.100813157378225,0.0481478309317071
"KEAP1",-0.116503777031697,-0.0924417722945113,-0.0692118914524043,0.0813724581584256,0.172548826984646,0.102733034430434,0.149102009316318
"ZEB",-0.155342025328358,-0.0705547042452462,-0.0494008469810515,-0.026133267422808,0.0211287692493852,0.0915675538295244,0.164891710925661
"miR200",0.247431434893364,0.0942905033096332,-0.0252814740761992,0.0526612581782601,-0.0358249309554989,-0.170419535567698,-0.16373530689484
"Ecadherin",0.234865234095216,0.161321628596067,-0.0110970478982901,0.0269607376750234,-0.0238857530818308,-0.147477456026847,-0.22313979843029
"NRF2",0.0123839268444315,0.100813157378225,0.0790684393468976,-0.0692118914524043,-0.165242890911587,-0.0924417722945113,-0.146667080684915
"miR34",0.0123839268444315,0.100813157378225,0.0790684393468976,-0.0692118914524043,-0.165242890911587,-0.0924417722945113,-0.146667080684915
