"","ZEB","NRF2","miR200","Ecadherin","KEAP1","miR34","SNAIL"
"ZEB",-0.100386891210002,-0.0285754032880672,-0.0137323152606328,3.64405303472509e-06,0.00980185418731459,0.0137323152606328,0.0592180624147685
"KEAP1",-0.0357142568575466,-0.130401076779446,-0.066330030177216,-0.0320542804702975,0.0614756612451772,0.066330030177216,0.0176496939871462
"SNAIL",-0.0321752069672238,-0.0247171024522013,-0.0671458270117463,-0.0333542383475975,0.0698307912122236,0.0671458270117463,-0.0867765598432021
"Ecadherin",-0.000809115715948014,-0.0895641169177306,-0.080067967801494,-0.00202337345194488,0.077041567286362,0.080067967801494,0.032022043597224
"miR200",0.00846799193790549,0.130273826568243,0.0205450515568443,0.00493511656989764,-0.123770858008457,-0.0205450515568443,-0.0465462144668798
"NRF2",0.0333542383475975,0.0251576310865626,0.0698307912122236,0.0357142568575466,-0.066330030177216,-0.0698307912122236,-0.0143751347931915
"miR34",0.0333542383475975,0.0251576310865626,0.0698307912122236,0.0357142568575466,-0.066330030177216,-0.0698307912122236,-0.0143751347931915
