"","ZEB","Ecadherin","miR34","miR200","KEAP1","NRF2","SNAIL"
"SNAIL",-0.142313627022481,0.144580995061661,0.199270355048473,0.199270355048473,-0.197122383688091,0.0148043752421579,0.0174616489544498
"KEAP1",-0.141017829860366,0.144677806247615,0.198035625697223,0.198035625697223,-0.195123004338,-0.0844531607673456,0.116927202965571
"Ecadherin",-0.0644703320479718,0.0843293214721786,0.148951649868246,0.148951649868246,-0.136395307305465,-0.122359508022895,0.0861337732700866
"ZEB",-0.0510889443017121,-0.0260992018044216,-0.00710439409210109,-0.00710439409210109,0.0210877652183294,0.0716796386316942,0.0859311719191202
"miR200",-0.0152815639866968,0.0392266081476389,-0.0207678444364658,-0.0207678444364658,-0.0639095749183729,0.0460986531798715,-0.0936726214239266
"NRF2",0.144580995061661,-0.141017829860366,-0.197122383688091,-0.197122383688091,0.198035625697223,-0.0114269890453885,-0.116507387684295
"miR34",0.144580995061661,-0.141017829860366,-0.197122383688091,-0.197122383688091,0.198035625697223,-0.0114269890453885,-0.116507387684295
