"","miR34","miR200","Ecadherin","ZEB","NRF2","KEAP1","SNAIL"
"NRF2",0.457230336896673,0.457230336896673,0.269358276755352,-0.279029725158869,0.0244849541735855,-0.444901569773385,-0.630818274687578
"miR34",0.457230336896673,0.457230336896673,0.269358276755352,-0.279029725158869,0.0244849541735855,-0.444901569773385,-0.630818274687578
"miR200",0.165724387990941,0.165724387990941,0.1327651926668,-0.127465879614788,0.0504687838951798,-0.246853420249005,-0.225912106490264
"ZEB",-0.104451852309419,-0.104451852309419,-0.0852658252658409,-0.00478701185798174,0.0605445137176648,0.112388360245927,0.151790418455442
"Ecadherin",-0.0387258702609344,-0.0387258702609344,-0.00720176648748077,0.0160932666833288,-0.137119327398251,0.0435552327850813,0.209486471815746
"KEAP1",-0.444901569773385,-0.444901569773385,-0.261920260226426,0.269358276755352,-0.127106677020027,0.422183123171443,0.611422808692616
"SNAIL",-0.470356828543451,-0.470356828543451,-0.279029725158869,0.283510044404288,-0.0284497118828366,0.457230336896673,0.543289482321668
