"","ZEB","SNAIL","Ecadherin","KEAP1","miR200","miR34","NRF2"
"ZEB",-0.0839663887658346,-0.0747897533635318,-0.0140349895939173,-0.00349174154520814,0.0044743568135377,0.0278516793602748,0.0427351580048593
"NRF2",-0.0490179955596796,-0.0414904210306466,0.0328680649719887,-0.0960534778100898,0.0904218187537732,0.0646273127275066,0.0222643233202543
"miR34",-0.0490179955596796,-0.0414904210306466,0.0328680649719887,-0.0960534778100898,0.0904218187537732,0.0646273127275066,0.0222643233202543
"Ecadherin",-0.00957788746608622,0.113449414816174,0.0043683300826158,-0.0015090678868197,2.8063379414674e-05,-0.105516694046202,-0.139999272396736
"miR200",0.0090158979736033,-0.0633682952151709,-0.0161797841365081,-0.123705917038891,0.0208026912324389,0.0383157187060557,0.143668953719715
"KEAP1",0.0328680649719887,0.0585349214504619,-0.0544737320322012,0.0884806622761092,-0.0960534778100898,-0.0424050905052844,-0.143987169762202
"SNAIL",0.0370281533684951,-0.0460383713352632,-0.0490179955596796,0.0904218187537732,-0.0947774273456586,-0.0481595322979123,-0.0385638827916199
