"","Ecadherin","miR34","miR200","ZEB","SNAIL","KEAP1","NRF2"
"miR200",0.0593570862793626,0.0428443198694636,0.0428443198694636,-0.060632846828921,-0.029340148591771,-0.145102384385593,-0.246898130070719
"SNAIL",0.0433736754287674,-0.0386271924254171,-0.0386271924254171,-0.0446615404750217,-0.0749734578277635,0.0368372162917655,0.00852494177194498
"KEAP1",0.0456536553453634,-0.0388159073115524,-0.0388159073115524,-0.0438826990289525,0.0223272915404414,0.0374566840105815,0.11065498846468
"NRF2",0.0438826990289525,-0.0368372162917655,-0.0368372162917655,-0.0433736754287674,0.0264414812969485,0.0388159073115524,0.00690967011262045
"miR34",0.0438826990289525,-0.0368372162917655,-0.0368372162917655,-0.0433736754287674,0.0264414812969485,0.0388159073115524,0.00690967011262045
"Ecadherin",0.0407781900639044,0.11058149924617,0.11058149924617,-0.0432458751402851,-0.0432545056986787,-0.112062503753575,-0.233489442156941
"ZEB",-0.0617235539775817,-0.0453806391662637,-0.0453806391662637,-0.0405507396130455,-0.0309487792325241,0.0434154086296046,0.145509225995724
