"","miR34","miR200","NRF2","SNAIL","ZEB","Ecadherin","KEAP1"
"miR200",0.256124520963692,0.256124520963692,0.0275818597646009,-0.0759374787178325,-0.228804364757338,-0.232631646406013,-0.346608391931434
"Ecadherin",0.215557133749755,0.215557133749755,0.0302793888494182,-0.125816296491374,-0.213603614411068,-0.212389356675071,-0.218454751264243
"SNAIL",-0.0267363837001732,-0.0267363837001732,-0.0560009369510647,-0.0456563472713171,-0.0790911469767169,-0.0845872471036895,0.0402208705736815
"KEAP1",-0.0233258934047317,-0.0233258934047317,-0.152509706275752,0.0595475387345363,-0.0776922910648186,-0.0863109451380182,0.0444909419484211
"NRF2",0.0402208705736815,0.0402208705736815,0.0693636388600222,-0.0341067326891963,0.0845872471036895,0.0776922910648186,-0.0233258934047317
"miR34",0.0402208705736815,0.0402208705736815,0.0693636388600222,-0.0341067326891963,0.0845872471036895,0.0776922910648186,-0.0233258934047317
"ZEB",-0.253226105486099,-0.253226105486099,0.0864804845031892,0.0971944848617274,0.144500698960975,0.24254802264579,0.257988010248004
