"","SNAIL","ZEB","KEAP1","Ecadherin","miR200","miR34","NRF2"
"NRF2",-0.382720129938144,-0.221649394981779,-0.347439097392635,0.217901130289507,0.344547164363716,0.0932584132870379,0.0194242069368997
"miR34",-0.382720129938144,-0.221649394981779,-0.347439097392635,0.217901130289507,0.344547164363716,0.0932584132870379,0.0194242069368997
"ZEB",-0.19177175787868,-0.0810818507403835,-0.0332052843935331,-0.00161973437333121,0.0474909986792473,0.0654624656389182,0.0727749512693853
"miR200",0.0154226092141994,-0.0503641586704513,-0.12021739085268,0.068421077218047,0.0332819069817121,-0.0454090872492786,0.0471577012947571
"Ecadherin",0.325666444152339,0.0548075805529222,0.112199444604423,-0.0405890141604427,-0.103377809060315,-0.153660387160272,-0.138538517563913
"KEAP1",0.384483354119504,0.217901130289507,0.342584728460596,-0.221797234185611,-0.347439097392635,-0.0911275152657289,-0.124667652629784
"SNAIL",0.282029113156308,0.218511357615554,0.344547164363716,-0.221649394981779,-0.346337140497367,-0.0902154538598303,-0.0236826504023916
