"","Ecadherin","miR200","SNAIL","KEAP1","NRF2","ZEB","miR34"
"miR200",0.639180160083923,0.384363910245649,0.262309770387788,-0.470815523148874,-0.64506489280601,-0.666461808759095,-0.570493268065155
"Ecadherin",0.566129981129981,0.279981978368477,0.275259561678808,-0.268327116810203,-0.57413463707491,-0.588652503652504,-0.496826872324452
"SNAIL",0.149413412266641,-0.00369463928155165,-0.00764870270888994,0.00464929321949915,-0.064856521105685,-0.153784897846181,-0.172604355456331
"KEAP1",-0.139745952134329,0.00830226125602883,-0.0869401974248044,-0.0112148826152521,0.154686414355862,0.145294948592417,0.164747985829438
"NRF2",-0.145294948592417,0.00464929321949915,-0.0917260916313535,-0.00830226125602883,0.0603043918839523,0.149413412266641,0.168248746864445
"miR34",-0.145294948592417,0.00464929321949915,-0.0917260916313535,-0.00830226125602883,0.0603043918839523,0.149413412266641,0.168248746864445
"ZEB",-0.70999470215224,-0.442583749784904,-0.321675353692609,0.428449207078932,0.615058221619668,0.635011931649138,0.639765436207067
