"","NRF2","miR34","miR200","SNAIL","ZEB","KEAP1","Ecadherin"
"Ecadherin",0.161000472567295,0.148861279890471,0.148861279890471,0.08212461347076,-0.264394571257925,-0.148410539388218,-0.264433740862312
"miR200",0.376801875507459,0.23673840234545,0.23673840234545,-0.00993789522395564,-0.253987681443089,-0.336899692668031,-0.2538895460162
"SNAIL",0.0137518386337329,-0.0256311404100963,-0.0256311404100963,-0.0731043721557024,-0.0718836057773789,0.0251538134411226,-0.0715752437240504
"miR34",0.0133113099993716,-0.0251538134411226,-0.0251538134411226,0.0277840779923727,-0.0715752437240504,0.0243927784335122,-0.0715289688513063
"KEAP1",-0.0866886900006284,-0.0243927784335122,-0.0243927784335122,0.0263567060360335,-0.0715289688513063,0.0273053997927355,-0.0725915426411528
"NRF2",-0.0133113099993716,0.0251538134411226,0.0251538134411226,-0.0277840779923727,0.0715752437240504,-0.0243927784335122,0.0715289688513063
"ZEB",-0.284999366187286,-0.237691500291251,-0.237691500291251,-0.0588737063365747,0.168974576955474,0.237086813972279,0.269135385593195
